number,id,title,youtube,cohort,topic,narrow,theist_speaker,non_theist_speaker,theist_words,non_theist_words,unknown_words,excluded_words,source_words,teaser_spans,source_note,theist_unsupported,theist_protected_slogan,theist_protected_any,theist_borderline_unsupported,theist_borderline_protected,theist_unsupported_with_emotion,non_theist_unsupported,non_theist_protected_slogan,non_theist_protected_any,non_theist_borderline_unsupported,non_theist_borderline_protected,non_theist_unsupported_with_emotion,theist_unsupported_rate,theist_protected_slogan_rate,theist_protected_any_rate,theist_borderline_unsupported_rate,theist_borderline_protected_rate,non_theist_unsupported_rate,non_theist_protected_slogan_rate,non_theist_protected_any_rate,non_theist_borderline_unsupported_rate,non_theist_borderline_protected_rate
51,lennox-atkins-duelling-professors-2012,John Lennox vs Peter Atkins: Duelling Professors on Science and God,https://www.youtube.com/watch?v=5gMS7WTHnho,earlier,"Cosmology, science & design",True,John Lennox,Peter Atkins,12060,9307,1842,1848,25057,0,"Reviewed all supplied events E0–E3787. The transcript contains transcription errors and frequent speaker changes within individual events; U marks those mixed events where one event-level attribution would lose a substantive speaker change. Attribution follows conversational context, not ideology. E1981 announces a technical interruption and renewed closing statements. E2120 onward contains separately phrased interviews, retained as substantive renewed speech rather than assumed editorial replays. No audio or external sources were consulted.",0,0,1,2,1,0,4,3,5,2,1,4,0.0,0.0,0.8291873963515755,1.658374792703151,0.8291873963515755,4.297840335231546,3.22338025142366,5.372300419039433,2.148920167615773,1.0744600838078866
52,horn-dillahunty-resurrection-reasonable-2021,Trent Horn vs Matt Dillahunty: Is Belief in the Resurrection Reasonable?,https://www.youtube.com/watch?v=7V6UNSvHVDM,earlier,Resurrection & historical evidence,True,Trent Horn,Matt Dillahunty,10319,9861,84,4531,24795,0,"Reviewed all supplied events E0–E3769. Attribution follows conversational turns and substantive function, not presumed ideology. The transcript contains transcription errors, incomplete phrases, overlapping turns, and reported connection failures; mixed events are marked U where separation is impossible. No edited teaser replay was identifiable. Quotations preserve the supplied wording.",0,0,0,0,0,0,0,0,2,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0281918669506136,1.0140959334753068,0.0
53,oconnor-dsouza-bible-true-2024,Alex O'Connor vs Dinesh D'Souza: Is the Bible True?,https://www.youtube.com/watch?v=UMKkX8qRHsw,earlier,"Scripture, revelation & doctrine",True,Dinesh D'Souza,Alex O'Connor,9242,8386,1442,3196,22266,2,"Reviewed all supplied events E0–E3545. Attribution follows conversational turns rather than ideology; U marks events containing inseparable contributions or uncertain boundaries. The transcript contains recognition errors, merged interruptions, and apparent editing artifacts. A repeatedly reverses Matthew and Luke when discussing the infancy narratives; quotations preserve the supplied wording. No audio or external sources were consulted.",2,2,8,1,1,2,0,0,0,0,0,0,2.164033758926639,2.164033758926639,8.656135035706557,1.0820168794633196,1.0820168794633196,0.0,0.0,0.0,0.0,0.0
54,jones-law-christianity-humanism-future-2025,Michael Jones vs Stephen Law: Christianity vs Humanism,https://www.youtube.com/watch?v=_UOwOCGIPzQ,earlier,Morality & moral foundations,False,Michael Jones,Stephen Law,7696,7295,142,2808,17941,1,"Reviewed all supplied events E0–E2679. Attribution uses the transcript's conversational context; several events combine speakers or leave brief interjections unidentified. No audio or cited studies were checked. Transcription errors are preserved in quotations. E1392–E1429 is an inserted promotional montage, apparently featuring other conversations; replay elsewhere in this transcript cannot be established.",2,1,1,0,0,2,0,0,0,0,0,0,2.598752598752599,1.2993762993762994,1.2993762993762994,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,craig-malpass-kalam-nothing-2026,William Lane Craig vs Alex Malpass: Can Something Come From Nothing?,https://www.youtube.com/watch?v=zQBY5K-Ns2Y,earlier,"Cosmology, science & design",True,William Lane Craig,Alex Malpass,5069,8045,56,1568,14738,0,"Reviewed all supplied events, E0–E2470. Attribution follows conversational context rather than the supplied anchors where anchors span interruptions. The transcript contains clipped sentences, uncertain interjections, and apparent transcription errors; no audio was supplied. References to published arguments do not establish their contents here.",0,0,2,1,0,0,0,0,0,0,0,0,0.0,0.0,3.945551390806865,1.9727756954034326,0.0,0.0,0.0,0.0,0.0,0.0
57,scrivener-dillahunty-atheism-morality-2020,Glen Scrivener vs Matt Dillahunty: Can Atheism Deliver a Better World?,https://www.youtube.com/watch?v=B3-sjyDYO2I,earlier,Morality & moral foundations,False,Glen Scrivener,Matt Dillahunty,4949,8132,1455,2687,17223,0,"Reviewed all supplied events E0–E2427. This is an error-prone, undiarized transcript; several events contain speaker changes. U marks those mixed events or genuinely unresolved attribution. Identification anchors were checked against conversational context rather than treated as authoritative interval labels. Exact quotations preserve transcription errors. No edited teaser replays were identifiable in the supplied text. Findings concern the use of claims, not their ultimate truth.",0,0,0,2,1,0,0,0,0,1,0,0,0.0,0.0,0.0,4.04122044857547,2.020610224287735,0.0,0.0,0.0,1.2297097884899164,0.0
58,dillahunty-slick-secular-humanism-christianity-2016,Matt Dillahunty vs Matt Slick: Is Secular Humanism Superior to Christianity?,https://www.youtube.com/watch?v=EKlycI9ZKsY,earlier,Morality & moral foundations,True,Matt Slick,Matt Dillahunty,9703,11543,1483,5842,28571,0,"Reviewed all supplied events, without tools. Attribution follows conversational context rather than ideology; U includes inseparably mixed turns. The transcript contains apparent recognition errors, especially E1965-E2073 and E2124-E2311, and frequently combines speakers within single events. These artifacts limit exact attribution and episode boundaries. No edited teaser replay was identifiable from the supplied text; repeated wording alone was not treated as evidence of editing.",4,4,6,3,3,4,0,0,0,0,0,0,4.122436359888694,4.122436359888694,6.183654539833041,3.0918272699165206,3.0918272699165206,0.0,0.0,0.0,0.0,0.0
59,bollore-halper-god-science-evidence-2026,Michel-Yves Bollore vs Phil Halper: Does Science Point to God?,https://www.youtube.com/watch?v=oeYze2psUpw,earlier,"Cosmology, science & design",True,Michel-Yves Bolloré,Phil Halper,7624,8901,146,1706,18377,1,"Reviewed all supplied events E0–E2697. Attribution follows conversational context, including corrections to broad identification anchors. The transcript contains transcription errors, interrupted sentences, connection problems, and events combining speakers; these limit precise attribution at some boundaries. Quotations preserve supplied wording. Scientific and historical claims were assessed for their argumentative use, without external verification.",3,2,6,2,2,3,0,0,0,0,0,0,3.9349422875131164,2.6232948583420774,7.869884575026233,2.6232948583420774,2.6232948583420774,0.0,0.0,0.0,0.0,0.0
60,horn-oconnor-jesus-resurrection-2026,Trent Horn vs Alex O'Connor: Did Jesus Rise From the Dead?,https://www.youtube.com/watch?v=Bu-7IHp3oGQ,earlier,Resurrection & historical evidence,True,Trent Horn,Alex O'Connor,8668,9666,157,1191,19682,0,Reviewed all supplied events E0–E2815. This is transcript-only annotation; apparent transcription errors and unmarked speaker changes limit attribution. Several identification anchors span replies by the other speaker and were adjusted using conversational context. U marks events containing inseparable speaker changes or genuinely uncertain attribution. No edited teaser replay was identifiable.,0,0,1,1,1,0,0,0,0,0,0,0,0.0,0.0,1.1536686663590217,1.1536686663590217,1.1536686663590217,0.0,0.0,0.0,0.0,0.0
61,scrivener-oconnor-morality-bible-slavery-2026,"Glen Scrivener vs Alex O'Connor: Morality, Freedom, Slavery, and the Bible",https://www.youtube.com/watch?v=-ZnVNM8lkGw,earlier,Morality & moral foundations,False,Glen Scrivener,Alex O'Connor,11457,13829,812,4522,30620,1,"Reviewed all supplied events E0–E4470. Attribution follows conversational context rather than ideology. The transcript has transcription errors, missing speaker labels, and events containing multiple speakers; inseparably mixed events are marked U. Quotations preserve the supplied wording. Historical and scriptural assertions were assessed for their argumentative use, without external verification.",1,1,1,3,3,1,0,0,0,0,0,0,0.8728288382648163,0.8728288382648163,0.8728288382648163,2.6184865147944487,2.6184865147944487,0.0,0.0,0.0,0.0,0.0
62,pageau-folley-logos-meaning-resurrection-2026,"Jonathan Pageau vs Joe Folley: Genesis, Jesus, Science, and Faith",https://www.youtube.com/watch?v=fJ05WWnyj2g,earlier,"Religion, culture & meaning",False,Jonathan Pageau,Joe Folley,8284,11233,463,4771,24751,1,"Reviewed all supplied events E0–E3419. Attribution follows conversational turns rather than treating the broad identification anchors as uninterrupted speech. The transcript lacks reliable speaker labels, contains transcription errors, and sometimes joins speakers within one event; those inseparable transitions are U. Brief interjections with genuinely uncertain ownership are also U. Quotations preserve supplied wording. No audio was available or consulted.",0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,butt-shermer-god-bible-2023,Kyle Butt vs Michael Shermer: Does the God of the Bible Exist?,https://www.youtube.com/watch?v=Z1TgI3cfeM8,earlier,"Scripture, revelation & doctrine",True,Kyle Butt,Michael Shermer,9387,9604,687,1786,21464,0,"Reviewed all supplied events E0–E3122. Attribution follows conversational turns rather than ideology. U includes indivisible events containing substantive speech plus another speaker's interruption. The transcript contains recognition errors, incomplete sentences, and embedded time calls; no audio was supplied for resolving these. Quotations preserve the supplied wording. No edited teaser replays were identified.",2,0,1,1,1,2,0,0,1,2,1,0,2.130606157451795,0.0,1.0653030787258975,1.0653030787258975,1.0653030787258975,0.0,0.0,1.0412328196584757,2.0824656393169514,1.0412328196584757
64,pine-watkins-god-existence-2020,Gregory Pine vs Ben Watkins: Does God Exist?,https://www.youtube.com/watch?v=0QMwHUijmqo,earlier,General theism & naturalism,True,Gregory Pine,Ben Watkins,11827,7913,171,3624,23535,0,"Reviewed all supplied events E0–E4106. Attribution follows conversational turns and source anchors, not ideology. U marks events containing inseparable speaker transitions. The transcript contains recognition errors and a timestamp jump between E3672 and E3673; no missing speech was reconstructed. Quotations preserve the supplied wording. No edited teaser replays were identifiable.",1,1,2,1,1,1,0,0,0,1,0,0,0.845522955948254,0.845522955948254,1.691045911896508,0.845522955948254,0.845522955948254,0.0,0.0,0.0,1.2637432073802604,0.0
65,donahue-malpass-fine-tuning-god-2026,Miles K. Donahue vs Alex Malpass: Does Fine-Tuning Point to God?,https://www.youtube.com/watch?v=2UtMbB_gazg,earlier,"Cosmology, science & design",True,Miles Donahue,Alex Malpass,6093,8133,112,365,14703,0,"Reviewed all supplied events, E0–E2195. Attribution uses conversational context rather than ideological content or speaker-change markers alone. Several events contain both speakers and are marked U. The transcript contains apparent transcription errors; no audio was supplied for resolving brief interjections. No confirmed unsupported slogan or confirmed explicit protection episode was identified.",0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,donahue-fodor-case-against-christianity-2025,Miles K. Donahue vs James Fodor: The Case Against Christianity,https://www.youtube.com/watch?v=jOYiPLT41wM,earlier,"Scripture, revelation & doctrine",True,Miles Donahue,James Fodor,7526,13412,830,903,22671,0,"Reviewed all supplied events E0–E3321. Attribution uses the supplied text and conversational continuity; no audio was available. Numerous events contain both a previous speaker's final words and the next speaker's reply; these are U. Transcription errors and unmarked brief interjections limit precision. Candidates concern proposed protective arguments, not confirmed unsupported slogans. Quoted third-party positions and expressly limited hypotheticals are not treated as the speakers' unconditional commitments.",0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,1.3287270794578794,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,jones-fodor-digital-physics-god-2021,Michael Jones vs James Fodor: The Digital Physics Argument for God,https://www.youtube.com/watch?v=b2HZu6BcxHU,earlier,"Mind, reason & logic",True,Michael Jones,James Fodor,9587,13095,731,3589,27002,0,"Reviewed all supplied events E0–E4517. This is a text-only annotation; the transcript contains recognition errors, missing punctuation, and speaker changes within individual events. U marks inseparably mixed or genuinely ambiguous events. No edited teaser replays were identifiable. Disputed premises, analogies, and repeated summaries were not treated as unsupported slogans merely because their reasoning remained contested.",0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,jones-dillahunty-quantum-idealism-demonstrability-2026,Michael Jones vs Matt Dillahunty: Quantum Idealism and Demonstrability,https://www.youtube.com/watch?v=6CLpuRu7R9o,earlier,"Mind, reason & logic",True,Michael Jones,Matt Dillahunty,1213,1292,112,1255,3872,1,"Reviewed all supplied events E0–E657. This is an edited excerpt with extensive editorial commentary, missing earlier arguments, transcription errors, and several events containing speaker changes. Attribution follows local conversational context rather than treating identification anchors as uninterrupted turns. No qualifying unsupported-slogan or explicit criticism-protection episode was established in the primary speakers' retained speech. Claims about information, consciousness, and observer dependence receive arguments and later qualifications; their disputed adequacy alone does not establish slogan substitution. E567–E583 expressly offers a proposed falsification route, whose scientific adequacy cannot be established from this excerpt.",0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,winger-dillahunty-resurrection-unreasonable-2019,Mike Winger vs Matt Dillahunty: Is Belief in the Resurrection Unreasonable?,https://www.youtube.com/watch?v=Z2FGgkubhZM,earlier,Resurrection & historical evidence,True,Mike Winger,Matt Dillahunty,8545,11228,467,3011,23251,0,"Reviewed all supplied events E0–E3620. Attribution follows conversational turns, with U for events containing inseparable speaker changes. The transcript lacks speaker labels and audio verification; some wording appears mistranscribed. Findings concern these particular claim uses, not their ultimate truth or debate merit.",1,0,1,1,2,0,2,1,1,1,1,1,1.1702750146284377,0.0,1.1702750146284377,1.1702750146284377,2.3405500292568755,1.7812611328820804,0.8906305664410402,0.8906305664410402,0.8906305664410402,0.8906305664410402
70,malpass-anderson-logic-god-2021,Alex Malpass vs James Anderson: Does Logic Prove God?,https://www.youtube.com/watch?v=4qpwVLLebng,earlier,"Mind, reason & logic",True,James Anderson,Alex Malpass,5634,7189,21,2642,15486,0,"Reviewed all supplied events E0–E2592. Attribution follows conversational context, not presumed ideology. The transcript contains apparent transcription errors and unidentified brief interjections; U marks those uncertainties. No audio or cited papers were supplied for verification. No edited teaser replay was identifiable.",0,0,0,0,0,0,0,0,0,2,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.782028098483795,1.3910140492418974
72,dyer-malpass-tag-argument-2019,Jay Dyer vs Alex Malpass: The TAG Argument,https://www.youtube.com/watch?v=gK-rwG392Uc,earlier,"Mind, reason & logic",True,Jay Dyer,Alex Malpass,9790,5611,431,2164,17996,0,"Reviewed all supplied events E0–E2601. The transcript contains substantial transcription errors, interruptions, and speaker changes within individual events. Attribution follows conversational context; U marks inseparably mixed events or unresolved boundaries. No edited teaser replays were identified. No episode clearly met the unsupported-slogan or explicit criticism-protection criteria: the disputed conclusions occur within extended arguments, and weaknesses in those arguments alone do not establish slogan substitution.",0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,rasmussen-malpass-suffering-causal-finitism-2021,"Josh Rasmussen vs Alex Malpass: Suffering, Theism, and Causal Finitism",https://www.youtube.com/watch?v=MfCQBynjgnw,earlier,"Evil, suffering & hiddenness",True,Josh Rasmussen,Alex Malpass,8881,10136,132,2640,21789,0,"Reviewed all supplied events E0–E3763. Attribution follows conversational turns, including corrections to broad identification anchors. The transcript contains recognition errors and several events spanning speaker changes; these are marked U where inseparable. No audio or video was supplied for verification. Moderator advocacy remains O. No edited teaser replays were identifiable.",0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,rasmussen-clifton-contingency-argument-2019,Josh Rasmussen vs Scott Clifton: Is the Contingency Argument Persuasive?,https://www.youtube.com/watch?v=WgiWkE1lhII,earlier,"Cosmology, science & design",True,Josh Rasmussen,Scott Clifton,6137,4209,1000,3210,14556,0,"Reviewed all supplied events, E0–E2047. The transcript contains transcription errors, brief overlapping replies, and a technical interruption around E1286–E1302; speech omitted during that interruption and the subsequent separate Q&A are unavailable. U marks events containing substantive speaker changes that cannot be separated at event resolution. No confirmed or genuinely uncertain unsupported-slogan or explicit criticism-protection episodes were identified. Recurring necessity claims receive arguments, hypotheses, or explicit qualifications.",0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,craig-oppy-mathematics-theism-2020,William Lane Craig vs Graham Oppy: Does Math Point to God?,https://www.youtube.com/watch?v=8WE1y00bwCU,earlier,"Mind, reason & logic",True,William Lane Craig,Graham Oppy,4678,5083,671,1943,12375,0,"Reviewed all supplied events, E0–E1875. The transcript contains recognition errors and events spanning speaker changes; inseparably mixed events are marked U. Attribution follows conversational turns rather than ideological content. No edited teaser replay was identified. One genuinely uncertain protection episode is recorded; no unsupported slogan is confirmed.",0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,feser-oppy-arguments-for-god-2020,Ed Feser vs Graham Oppy: Are There Any Good Arguments for God?,https://www.youtube.com/watch?v=m-80lQOlNOs,earlier,General theism & naturalism,True,Ed Feser,Graham Oppy,10216,8704,601,1464,20985,0,"Reviewed all supplied events E0–E3006. No qualifying unsupported slogan or explicit protection episode was established. The transcript has transcription errors, unlabeled turns, and events containing speaker changes; U marks mixed or genuinely uncertain attribution. Brief acknowledgments within another speaker's substantive turn retain that substantive speaker's label where separable. Referenced books and articles were not supplied. No edited teaser replay was identifiable.",0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,albrecht-oppy-resurrection-ancient-christianity-2023,William Albrecht vs Graham Oppy: Resurrection and Ancient Christianity,https://www.youtube.com/watch?v=YzvidaGO3m4,earlier,Resurrection & historical evidence,True,William Albrecht,Graham Oppy,5297,3035,393,148,8873,0,"Reviewed all supplied events, E0–E1356. No qualifying unsupported slogan or explicit protection against criticism was established. The transcript contains transcription errors and speaker changes within events; U marks inseparably mixed substantive turns. Brief acknowledgments do not change attribution of an otherwise identifiable substantive turn. No edited replay could be established from the supplied text; abrupt transitions alone were insufficient.",0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79,swinburne-oppy-theism-probability-2022,Richard Swinburne vs Graham Oppy: Is Theism Probable?,https://www.youtube.com/watch?v=hKw3d3qOYSo,earlier,General theism & naturalism,True,Richard Swinburne,Graham Oppy,7449,3571,183,1603,12806,2,"Reviewed all supplied events E0–E2215. Attribution uses conversational continuity and the supplied anchors, not ideology. Several events combine speakers; these are marked U when inseparable. The transcript contains transcription errors and no reliable speaker labels. E0–E45 is an edited opening montage; its passages are not verbatim repetitions identifiable later in the retained text. No confirmed unsupported slogan or confirmed criticism-resistant episode was identified.",0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,rasmussen-schmid-argument-from-limits-2023,Josh Rasmussen vs Joe Schmid: The Argument from Limits,https://www.youtube.com/watch?v=Lt1wN10yOY4,earlier,"Mind, reason & logic",True,Josh Rasmussen,Joseph Schmid,12850,7528,46,2789,23213,0,Reviewed all supplied events E0–E3373. Attribution follows conversational context rather than the anchors where an anchored range contains interruptions. The text lacks speaker labels and contains transcription errors; U marks ambiguous or mixed events. No edited teaser replay was identifiable. No episode met the unsupported-slogan or explicit criticism-protection criteria after considering supporting arguments and qualifications.,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81,rasmussen-oppy-ultimate-reality-naturalism-2020,"Josh Rasmussen vs Graham Oppy: Theism, Naturalism, and Ultimate Reality",https://www.youtube.com/watch?v=YhqFdIb13bk,earlier,General theism & naturalism,True,Josh Rasmussen,Graham Oppy,8515,6483,406,3629,19033,0,"Reviewed all supplied events, E0–E2715. The transcript lacks speaker labels and contains transcription errors and some turns joined within single events. Attribution follows conversational context; U marks inseparably mixed or genuinely uncertain events. In particular, the reply beginning E1013 is attributed to A despite the supplied B anchor extending through E1026. No qualifying unsupported slogan or explicit protection episode was identified. Disputed deductions, statements of theoretical commitments, and acknowledged explanatory stopping points were not treated as slogans merely because their justification remained contestable.",0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83,loke-oppy-kalam-causal-principle-2020,Andrew Loke vs Graham Oppy: Is the Kalam Sound?,https://www.youtube.com/watch?v=a8NrTv-Durc,earlier,"Cosmology, science & design",True,Andrew Loke,Graham Oppy,11656,9513,360,3078,24607,0,"Reviewed all supplied events E0–E4348. The transcript contains recognition errors, missing speech, noise markers, and overlapping turns; U marks events whose speakers cannot be separated confidently from this text. Attribution follows conversational context, with housekeeping and the superhero interlude excluded. No edited teaser replays were identifiable. No confirmed or genuinely uncertain unsupported-slogan or criticism-protection episode was identified: repeated conclusions are accompanied by arguments, theoretical assumptions, definitions, or explicit qualifications. Disagreement over those reasons does not itself establish substitution or protection.",0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85,atkins-fox-god-science-future-humanity-2024,Peter Atkins vs Keith Fox: God vs Science Debate,https://www.youtube.com/watch?v=2pDEBRG_9_Q,earlier,"Cosmology, science & design",True,Keith Fox,Peter Atkins,4828,3743,1260,2254,12085,3,"Reviewed all supplied events E0–E1768. This is research annotation, not scoring. The transcript lacks speaker labels and contains recognition errors, interruptions, and events spanning speaker changes. Such mixed events are marked U; attribution follows conversational context, not ideology. Exact quotations retain transcript wording. Promotional excerpts from other debates are excluded alongside the opening replay.",0,0,0,0,0,0,9,4,4,2,3,9,0.0,0.0,0.0,0.0,0.0,24.044883783061714,10.686615014694096,10.686615014694096,5.343307507347048,8.014961261020572
86,egnor-dillahunty-god-existence-2021,Michael Egnor vs Matt Dillahunty: Does God Exist?,https://www.youtube.com/watch?v=yahf0t5mK5g,earlier,General theism & naturalism,True,Michael Egnor,Matt Dillahunty,7933,12265,989,3359,24546,0,"Reviewed E0–E4042. Attribution follows the supplied text and conversational turns, not ideology. Automatic transcription errors, connection losses, and events containing multiple speakers limit precision; inseparably mixed events are U. Several identification anchors contain interruptions. No edited teaser replay was identifiable.",6,5,5,0,1,6,1,0,0,1,0,1,7.563342997604941,6.302785831337451,6.302785831337451,0.0,1.2605571662674901,0.8153281695882593,0.0,0.0,0.8153281695882593,0.0
87,christopoulos-dillahunty-resurrection-historical-event-2024,Than Christopoulos vs Matt Dillahunty: Is the Resurrection a Historical Event?,https://www.youtube.com/watch?v=OSQWIWY9gYg,earlier,Resurrection & historical evidence,True,Than Christopoulos,Matt Dillahunty,10469,9686,909,4367,25431,0,"Reviewed all supplied events E0–E3804. Attribution follows conversational context, with U for inseparable turns and uncertain fragments. The transcript contains recognition errors, embedded time calls, and an intermission conversation with incomplete speech. Slides, cited studies, and medical records are unavailable; speakers also report a stream interruption. No edited teaser replay is identifiable. Findings concern claim use in this transcript, not the truth of its historical or scientific assertions.",0,0,0,0,0,0,0,0,2,3,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0648358455502787,3.097253768325418,3.097253768325418
88,sechler-dillahunty-perfect-mind-universe-2022,Zac Sechler vs Matt Dillahunty: Did a Perfect Mind Create the Universe?,https://www.youtube.com/watch?v=FUPOouj5jNg,earlier,General theism & naturalism,True,Zac Sechler,Matt Dillahunty,6911,10071,105,1659,18746,0,"Reviewed all supplied events E0–E2749. Attribution follows turn context, with mixed events marked U. The transcript contains recognition errors and some compressed speaker changes; no audio was supplied. No edited teaser replay was identifiable. Candidates below are uncertain protection episodes, not confirmed unsupported slogans.",0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89,bignon-oppy-religious-experience-god-2022,Guillaume Bignon vs Graham Oppy: Religious Experience and the Case for God,https://www.youtube.com/watch?v=4KCJXMeM9WQ,earlier,"Religion, culture & meaning",False,Guillaume Bignon,Graham Oppy,6448,3610,142,4107,14307,1,"Reviewed all supplied events E0-E2203. Attribution follows conversational turns, not ideological content. The transcript lacks speaker labels and contains transcription errors; events containing substantive speech from two speakers are marked U. Conversion biography is retained where it supplies the experiences subsequently debated; unrelated career and personal background is excluded. Findings concern textual uses, not the truth of either worldview.",0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,1.5508684863523574,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90,akin-ehrman-gospels-historically-reliable-2022,Jimmy Akin vs Bart Ehrman: Are the Gospels Historically Reliable?,https://www.youtube.com/watch?v=Zn7lmu0pek0,earlier,"Scripture, revelation & doctrine",False,Jimmy Akin,Bart Ehrman,9400,9529,501,2675,22105,0,"Reviewed all supplied events E0–E3618. Attribution follows conversational turns rather than ideology or anchor ranges; several anchors contain interruptions by the other speaker. U marks events containing inseparable speaker changes or genuinely uncertain attribution. The transcript contains transcription errors and lacks speaker labels, audio, and the displayed slides. External books, linked resources, and unfinished experimental results were not supplied.",0,0,1,2,1,0,1,0,0,0,0,1,0.0,0.0,1.0638297872340425,2.127659574468085,1.0638297872340425,1.04942806170637,0.0,0.0,0.0,0.0
91,cutter-oppy-mind-brain-harmony-god-2025,Brian Cutter vs Graham Oppy: Does Mind-Brain Harmony Point to God?,https://www.youtube.com/watch?v=dmTLjiGWgpE,earlier,"Mind, reason & logic",True,Brian Cutter,Graham Oppy,9805,5364,78,2155,17402,0,"Reviewed all supplied events, E0–E2665. No qualifying unsupported-slogan or criticism-protection episode was established. The transcript contains transcription errors, missing speaker markers, and some events containing turn changes; these limit exact attribution. U marks unresolved or mixed events. No edited teaser replays were identifiable.",0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92,craig-malpass-universe-begin-exist-2020,William Lane Craig vs Alex Malpass: Did the Universe Begin to Exist?,https://www.youtube.com/watch?v=uWo9qU2dhpQ,earlier,"Cosmology, science & design",True,William Lane Craig,Alex Malpass,6661,9592,597,3726,20576,0,"Reviewed all supplied events E0–E2926. The transcript contains substantial transcription errors, unmarked speaker changes, and reported connection problems around E709–E716. U marks inseparably mixed event text or uncertain attribution. Quotations preserve the supplied wording. No edited teaser replay was identifiable. O includes the audience affirmation recorded below; it is not attributed to either primary speaker.",1,1,1,0,0,1,0,0,0,0,0,0,1.5012760846719713,1.5012760846719713,1.5012760846719713,0.0,0.0,0.0,0.0,0.0,0.0,0.0
93,hunter-dillahunty-christian-god-exist-2019,Braxton Hunter vs Matt Dillahunty: Does the Christian God Exist?,https://www.youtube.com/watch?v=Y9Uktg9nLx8,earlier,"Scripture, revelation & doctrine",True,Braxton Hunter,Matt Dillahunty,10231,10626,1124,4244,26225,0,"Reviewed all supplied events E0–E3741. The transcript contains recognition errors, missing punctuation, and events spanning speaker changes; attribution at those boundaries is sometimes U. Quotations preserve the supplied wording. No edited teaser replay was identifiable. The moderator's closing advocacy is O and is annotated separately from either primary speaker's claims.",0,0,3,1,0,0,0,0,0,1,0,0,0.0,0.0,2.932264685758968,0.9774215619196559,0.0,0.0,0.0,0.0,0.9410878976096367,0.0
94,swinburne-huemer-theism-coherent-2026,Richard Swinburne vs Michael Huemer: Is Theism Coherent?,https://www.youtube.com/watch?v=1IkAU6zAYLU,earlier,General theism & naturalism,True,Richard Swinburne,Michael Huemer,3361,4091,38,552,8042,0,"Reviewed all supplied events E0–E1195. Attribution follows conversational context, not ideology. The transcript contains transcription errors and several mixed or ambiguous turn boundaries; no audio or slideshow was supplied. No edited teaser replays were identifiable. One genuinely uncertain candidate is retained; no unsupported or criticism-resistant slogan is confirmed.",0,0,0,1,1,0,0,0,0,0,0,0,0.0,0.0,0.0,2.9753049687592976,2.9753049687592976,0.0,0.0,0.0,0.0,0.0
