debate_number,debate_id,title,label,motion,side,speaker,opponent,score,opponent_score,cohort,margin,generation_adjusted_score
51,lennox-atkins-duelling-professors-2012,John Lennox vs Peter Atkins: Duelling Professors on Science and God,"Design, DNA, and naturalism","Do science, design, DNA, natural law, morality, and human experience point toward Christian theism or toward an atheistic naturalist account?",con,Peter Atkins,John Lennox,72,79,closed,-7,71.5085248234426
52,horn-dillahunty-resurrection-reasonable-2021,Trent Horn vs Matt Dillahunty: Is Belief in the Resurrection Reasonable?,Resurrection reasonability and testimony,"Is it reasonable to believe Jesus of Nazareth rose from the dead, given historical testimony, expected evidence, background knowledge, and standards for unusual claims?",pro,Trent Horn,Matt Dillahunty,82,83,closed,-1,81.5085248234426
52,horn-dillahunty-resurrection-reasonable-2021,Trent Horn vs Matt Dillahunty: Is Belief in the Resurrection Reasonable?,Resurrection reasonability and testimony,"Is it reasonable to believe Jesus of Nazareth rose from the dead, given historical testimony, expected evidence, background knowledge, and standards for unusual claims?",con,Matt Dillahunty,Trent Horn,83,82,closed,1,82.5085248234426
53,oconnor-dsouza-bible-true-2024,Alex O'Connor vs Dinesh D'Souza: Is the Bible True?,Bible truth and moral authority,"Is the Bible true in historical, moral, allegorical, theological, and revelatory senses, or do contradictions and morally troubling texts undermine its truth claims?",pro,Dinesh D'Souza,Alex O'Connor,76,91,closed,-15,75.5085248234426
53,oconnor-dsouza-bible-true-2024,Alex O'Connor vs Dinesh D'Souza: Is the Bible True?,Bible truth and moral authority,"Is the Bible true in historical, moral, allegorical, theological, and revelatory senses, or do contradictions and morally troubling texts undermine its truth claims?",con,Alex O'Connor,Dinesh D'Souza,91,76,closed,15,90.5085248234426
54,jones-law-christianity-humanism-future-2025,Michael Jones vs Stephen Law: Christianity vs Humanism,"Christianity, humanism, and social future","Does Christianity or humanism offer a brighter future for humanity, especially for moral formation, social health, human rights, truth, and pluralistic freedom?",pro,Michael Jones,Stephen Law,72,81,closed,-9,71.5085248234426
54,jones-law-christianity-humanism-future-2025,Michael Jones vs Stephen Law: Christianity vs Humanism,"Christianity, humanism, and social future","Does Christianity or humanism offer a brighter future for humanity, especially for moral formation, social health, human rights, truth, and pluralistic freedom?",con,Stephen Law,Michael Jones,81,72,closed,9,80.5085248234426
55,craig-malpass-kalam-nothing-2026,William Lane Craig vs Alex Malpass: Can Something Come From Nothing?,"Kalam, nothing, and infinity","Does the Kalam cosmological argument show that the universe began to exist, has a cause, and points to a personal creator?",pro,William Lane Craig,Alex Malpass,75,91,closed,-16,74.5085248234426
55,craig-malpass-kalam-nothing-2026,William Lane Craig vs Alex Malpass: Can Something Come From Nothing?,"Kalam, nothing, and infinity","Does the Kalam cosmological argument show that the universe began to exist, has a cause, and points to a personal creator?",con,Alex Malpass,William Lane Craig,91,75,closed,16,90.5085248234426
56,huemer-lutz-morality-real-2026,Mike Huemer vs Matt Lutz: Is Morality Real?,Moral realism and error theory,"Are there objective moral facts, and can moral knowledge be justified by appearances rather than only by best-explanation evidence?",pro,Michael Huemer,Matt Lutz,88,81,closed,7,87.5085248234426
56,huemer-lutz-morality-real-2026,Mike Huemer vs Matt Lutz: Is Morality Real?,Moral realism and error theory,"Are there objective moral facts, and can moral knowledge be justified by appearances rather than only by best-explanation evidence?",con,Matt Lutz,Michael Huemer,81,88,closed,-7,80.5085248234426
57,scrivener-dillahunty-atheism-morality-2020,Glen Scrivener vs Matt Dillahunty: Can Atheism Deliver a Better World?,Atheism and Christian moral inheritance,Can atheism or secular humanism provide a better moral foundation for society than Christianity?,pro,Glen Scrivener,Matt Dillahunty,77,86,closed,-9,76.5085248234426
57,scrivener-dillahunty-atheism-morality-2020,Glen Scrivener vs Matt Dillahunty: Can Atheism Deliver a Better World?,Atheism and Christian moral inheritance,Can atheism or secular humanism provide a better moral foundation for society than Christianity?,con,Matt Dillahunty,Glen Scrivener,86,77,closed,9,85.5085248234426
58,dillahunty-slick-secular-humanism-christianity-2016,Matt Dillahunty vs Matt Slick: Is Secular Humanism Superior to Christianity?,Secular humanism and presuppositional critique,"Is secular humanism superior to Christianity at achieving human flourishing, rational decision-making, moral reasoning, and conflict resolution?",pro,Matt Dillahunty,Matt Slick,82,74,closed,8,81.5085248234426
58,dillahunty-slick-secular-humanism-christianity-2016,Matt Dillahunty vs Matt Slick: Is Secular Humanism Superior to Christianity?,Secular humanism and presuppositional critique,"Is secular humanism superior to Christianity at achieving human flourishing, rational decision-making, moral reasoning, and conflict resolution?",con,Matt Slick,Matt Dillahunty,74,82,closed,-8,73.5085248234426
59,bollore-halper-god-science-evidence-2026,Michel-Yves Bollore vs Phil Halper: Does Science Point to God?,"God, science, and cosmic evidence","Do cosmology, fine-tuning, origin-of-life research, biblical claims, and suffering make the Christian God more or less plausible?",pro,Michel-Yves Bolloré,Phil Halper,69,88,closed,-19,68.5085248234426
59,bollore-halper-god-science-evidence-2026,Michel-Yves Bollore vs Phil Halper: Does Science Point to God?,"God, science, and cosmic evidence","Do cosmology, fine-tuning, origin-of-life research, biblical claims, and suffering make the Christian God more or less plausible?",con,Phil Halper,Michel-Yves Bolloré,88,69,closed,19,87.5085248234426
60,horn-oconnor-jesus-resurrection-2026,Trent Horn vs Alex O'Connor: Did Jesus Rise From the Dead?,Resurrection witnesses and rival miracles,"Did Jesus physically rise from the dead, and do early Christian testimony, rival miracle claims, martyrdom, and the empty tomb make that conclusion historically reasonable?",pro,Trent Horn,Alex O'Connor,78,86,closed,-8,77.5085248234426
60,horn-oconnor-jesus-resurrection-2026,Trent Horn vs Alex O'Connor: Did Jesus Rise From the Dead?,Resurrection witnesses and rival miracles,"Did Jesus physically rise from the dead, and do early Christian testimony, rival miracle claims, martyrdom, and the empty tomb make that conclusion historically reasonable?",con,Alex O'Connor,Trent Horn,86,78,closed,8,85.5085248234426
61,scrivener-oconnor-morality-bible-slavery-2026,"Glen Scrivener vs Alex O'Connor: Morality, Freedom, Slavery, and the Bible",Biblical slavery and moral inheritance,"Did Christian faith give the modern West its beliefs in kindness, equality, freedom, consent, and abolition, or are those values better explained by mixed traditions, social struggle, and secular moral development?",pro,Glen Scrivener,Alex O'Connor,81,89,closed,-8,80.5085248234426
61,scrivener-oconnor-morality-bible-slavery-2026,"Glen Scrivener vs Alex O'Connor: Morality, Freedom, Slavery, and the Bible",Biblical slavery and moral inheritance,"Did Christian faith give the modern West its beliefs in kindness, equality, freedom, consent, and abolition, or are those values better explained by mixed traditions, social struggle, and secular moral development?",con,Alex O'Connor,Glen Scrivener,89,81,closed,8,88.5085248234426
62,pageau-folley-logos-meaning-resurrection-2026,"Jonathan Pageau vs Joe Folley: Genesis, Jesus, Science, and Faith","Patterns, Logos, and secular meaning","Do patterns, symbolism, Genesis, resurrection, worship, and social meaning point toward God as Logos, or can they be explained by human cognition, pragmatic abstraction, and bottom-up social life?",pro,Jonathan Pageau,Joe Folley,76,88,closed,-12,75.5085248234426
62,pageau-folley-logos-meaning-resurrection-2026,"Jonathan Pageau vs Joe Folley: Genesis, Jesus, Science, and Faith","Patterns, Logos, and secular meaning","Do patterns, symbolism, Genesis, resurrection, worship, and social meaning point toward God as Logos, or can they be explained by human cognition, pragmatic abstraction, and bottom-up social life?",con,Joe Folley,Jonathan Pageau,88,76,closed,12,87.5085248234426
63,butt-shermer-god-bible-2023,Kyle Butt vs Michael Shermer: Does the God of the Bible Exist?,Biblical theism and skeptical evidence,"Does the God of the Bible exist, and do causation, design, morality, Jesus, religious diversity, suffering, and evidential standards support or undermine that claim?",pro,Kyle Butt,Michael Shermer,71,86,closed,-15,70.5085248234426
63,butt-shermer-god-bible-2023,Kyle Butt vs Michael Shermer: Does the God of the Bible Exist?,Biblical theism and skeptical evidence,"Does the God of the Bible exist, and do causation, design, morality, Jesus, religious diversity, suffering, and evidential standards support or undermine that claim?",con,Michael Shermer,Kyle Butt,86,71,closed,15,85.5085248234426
64,pine-watkins-god-existence-2020,Gregory Pine vs Ben Watkins: Does God Exist?,Thomistic theism and analytic atheism,"Does God exist, and do Thomistic arguments from being, act and potency, divine simplicity, revelation, evil, freedom, and changing knowledge support or undermine classical theism?",pro,Gregory Pine,Ben Watkins,79,86,closed,-7,78.5085248234426
64,pine-watkins-god-existence-2020,Gregory Pine vs Ben Watkins: Does God Exist?,Thomistic theism and analytic atheism,"Does God exist, and do Thomistic arguments from being, act and potency, divine simplicity, revelation, evil, freedom, and changing knowledge support or undermine classical theism?",con,Ben Watkins,Gregory Pine,86,79,closed,7,85.5085248234426
65,donahue-malpass-fine-tuning-god-2026,Miles K. Donahue vs Alex Malpass: Does Fine-Tuning Point to God?,Fine-tuning priors and naturalism,"Does cosmic fine-tuning provide strong evidence for God, or can naturalistic alternatives, hypothesis-space ambiguity, and doubts about divine psychology undercut that inference?",pro,Miles Donahue,Alex Malpass,79,80,closed,-1,78.5085248234426
65,donahue-malpass-fine-tuning-god-2026,Miles K. Donahue vs Alex Malpass: Does Fine-Tuning Point to God?,Fine-tuning priors and naturalism,"Does cosmic fine-tuning provide strong evidence for God, or can naturalistic alternatives, hypothesis-space ambiguity, and doubts about divine psychology undercut that inference?",con,Alex Malpass,Miles Donahue,80,79,closed,1,79.5085248234426
66,donahue-fodor-case-against-christianity-2025,Miles K. Donahue vs James Fodor: The Case Against Christianity,"Christianity, evidence, and disagreement","Do philosophical arguments, biblical beauty, religious experience, and resurrection evidence make Christianity credible, or do evil, disagreement, expert dissent, and Christian moral failure make it unlikely?",pro,Miles Donahue,James Fodor,81,83,closed,-2,80.5085248234426
66,donahue-fodor-case-against-christianity-2025,Miles K. Donahue vs James Fodor: The Case Against Christianity,"Christianity, evidence, and disagreement","Do philosophical arguments, biblical beauty, religious experience, and resurrection evidence make Christianity credible, or do evil, disagreement, expert dissent, and Christian moral failure make it unlikely?",con,James Fodor,Miles Donahue,83,81,closed,2,82.5085248234426
67,jones-fodor-digital-physics-god-2021,Michael Jones vs James Fodor: The Digital Physics Argument for God,Digital physics and theistic idealism,"Does digital physics, emergent spacetime, quantum information, and idealist metaphysics make God the best explanation of reality, or is a materialist ontology simpler and better disciplined?",pro,Michael Jones,James Fodor,71,87,closed,-16,70.5085248234426
67,jones-fodor-digital-physics-god-2021,Michael Jones vs James Fodor: The Digital Physics Argument for God,Digital physics and theistic idealism,"Does digital physics, emergent spacetime, quantum information, and idealist metaphysics make God the best explanation of reality, or is a materialist ontology simpler and better disciplined?",con,James Fodor,Michael Jones,87,71,closed,16,86.5085248234426
68,jones-dillahunty-quantum-idealism-demonstrability-2026,Michael Jones vs Matt Dillahunty: Quantum Idealism and Demonstrability,Quantum idealism and demonstrability,"Does quantum mechanics and idealism provide good reason to treat consciousness or a divine mind as fundamental, or does the claim fail public demonstrability and physical-interaction tests?",pro,Michael Jones,Matt Dillahunty,69,86,closed,-17,68.5085248234426
68,jones-dillahunty-quantum-idealism-demonstrability-2026,Michael Jones vs Matt Dillahunty: Quantum Idealism and Demonstrability,Quantum idealism and demonstrability,"Does quantum mechanics and idealism provide good reason to treat consciousness or a divine mind as fundamental, or does the claim fail public demonstrability and physical-interaction tests?",con,Matt Dillahunty,Michael Jones,86,69,closed,17,85.5085248234426
69,winger-dillahunty-resurrection-unreasonable-2019,Mike Winger vs Matt Dillahunty: Is Belief in the Resurrection Unreasonable?,Resurrection burden and history,"Is belief in Jesus' resurrection reasonable given the historical claims, testimonial sources, rival explanations, and evidential burden for supernatural causation?",pro,Mike Winger,Matt Dillahunty,80,86,closed,-6,79.5085248234426
69,winger-dillahunty-resurrection-unreasonable-2019,Mike Winger vs Matt Dillahunty: Is Belief in the Resurrection Unreasonable?,Resurrection burden and history,"Is belief in Jesus' resurrection reasonable given the historical claims, testimonial sources, rival explanations, and evidential burden for supernatural causation?",con,Matt Dillahunty,Mike Winger,86,80,closed,6,85.5085248234426
70,malpass-anderson-logic-god-2021,Alex Malpass vs James Anderson: Does Logic Prove God?,Logic and divine conceptualism,"Does the existence of necessary truths or laws of logic support a necessarily existing divine mind, or can propositions be explained without God?",pro,James Anderson,Alex Malpass,86,82,closed,4,85.5085248234426
70,malpass-anderson-logic-god-2021,Alex Malpass vs James Anderson: Does Logic Prove God?,Logic and divine conceptualism,"Does the existence of necessary truths or laws of logic support a necessarily existing divine mind, or can propositions be explained without God?",con,Alex Malpass,James Anderson,82,86,closed,-4,81.5085248234426
72,dyer-malpass-tag-argument-2019,Jay Dyer vs Alex Malpass: The TAG Argument,"TAG, induction, and logic","Does the transcendental argument show that logic, induction, knowledge, and ethics require the Orthodox Christian God, or can those preconditions be understood without that presupposition?",pro,Jay Dyer,Alex Malpass,74,91,closed,-17,73.5085248234426
72,dyer-malpass-tag-argument-2019,Jay Dyer vs Alex Malpass: The TAG Argument,"TAG, induction, and logic","Does the transcendental argument show that logic, induction, knowledge, and ethics require the Orthodox Christian God, or can those preconditions be understood without that presupposition?",con,Alex Malpass,Jay Dyer,91,74,closed,17,90.5085248234426
73,hawkins-folley-free-will-compatibilism-2026,Nathan Hawkins vs Joe Folley: Do We Really Have Free Will?,Libertarian freedom and compatibilism,"Does human freedom require libertarian alternative possibilities and sourcehood, or can compatibilist notions of will, responsibility, and practical agency survive determinism?",pro,Nathan Hawkins,Joe Folley,83,89,closed,-6,82.5085248234426
73,hawkins-folley-free-will-compatibilism-2026,Nathan Hawkins vs Joe Folley: Do We Really Have Free Will?,Libertarian freedom and compatibilism,"Does human freedom require libertarian alternative possibilities and sourcehood, or can compatibilist notions of will, responsibility, and practical agency survive determinism?",con,Joe Folley,Nathan Hawkins,89,83,closed,6,88.5085248234426
74,rasmussen-malpass-suffering-causal-finitism-2021,"Josh Rasmussen vs Alex Malpass: Suffering, Theism, and Causal Finitism","Suffering, theism, and causal finitude","Do Grim Reaper-style paradoxes support causal finitism, and does the existence and distribution of suffering favor theism or the hypothesis of indifference?",pro,Josh Rasmussen,Alex Malpass,82,89,closed,-7,81.5085248234426
74,rasmussen-malpass-suffering-causal-finitism-2021,"Josh Rasmussen vs Alex Malpass: Suffering, Theism, and Causal Finitism","Suffering, theism, and causal finitude","Do Grim Reaper-style paradoxes support causal finitism, and does the existence and distribution of suffering favor theism or the hypothesis of indifference?",con,Alex Malpass,Josh Rasmussen,89,82,closed,7,88.5085248234426
75,rasmussen-clifton-contingency-argument-2019,Josh Rasmussen vs Scott Clifton: Is the Contingency Argument Persuasive?,Contingency and necessary foundation,Is the argument from contingency persuasive in moving from contingent reality to a necessary or automatically actual foundation?,pro,Josh Rasmussen,Scott Clifton,79,87,closed,-8,78.5085248234426
75,rasmussen-clifton-contingency-argument-2019,Josh Rasmussen vs Scott Clifton: Is the Contingency Argument Persuasive?,Contingency and necessary foundation,Is the argument from contingency persuasive in moving from contingent reality to a necessary or automatically actual foundation?,con,Scott Clifton,Josh Rasmussen,87,79,closed,8,86.5085248234426
76,craig-oppy-mathematics-theism-2020,William Lane Craig vs Graham Oppy: Does Math Point to God?,Mathematics and theism,Does the surprising applicability of mathematics to the physical world support theism better than naturalism?,pro,William Lane Craig,Graham Oppy,81,84,closed,-3,80.5085248234426
76,craig-oppy-mathematics-theism-2020,William Lane Craig vs Graham Oppy: Does Math Point to God?,Mathematics and theism,Does the surprising applicability of mathematics to the physical world support theism better than naturalism?,con,Graham Oppy,William Lane Craig,84,81,closed,3,83.5085248234426
77,feser-oppy-arguments-for-god-2020,Ed Feser vs Graham Oppy: Are There Any Good Arguments for God?,Argument standards and Aristotelian proof,"Are there good arguments for God, and does Feser's Aristotelian proof survive Oppy's theory-comparison and persistence objections?",pro,Ed Feser,Graham Oppy,86,81,closed,5,85.5085248234426
77,feser-oppy-arguments-for-god-2020,Ed Feser vs Graham Oppy: Are There Any Good Arguments for God?,Argument standards and Aristotelian proof,"Are there good arguments for God, and does Feser's Aristotelian proof survive Oppy's theory-comparison and persistence objections?",con,Graham Oppy,Ed Feser,81,86,closed,-5,80.5085248234426
78,albrecht-oppy-resurrection-ancient-christianity-2023,William Albrecht vs Graham Oppy: Resurrection and Ancient Christianity,Resurrection and ancient Christianity,"Do Paul's letters, Gospel transmission, hostile witnesses, and early church structures make the bodily resurrection and Catholic continuity historically credible?",pro,William Albrecht,Graham Oppy,76,83,closed,-7,75.5085248234426
78,albrecht-oppy-resurrection-ancient-christianity-2023,William Albrecht vs Graham Oppy: Resurrection and Ancient Christianity,Resurrection and ancient Christianity,"Do Paul's letters, Gospel transmission, hostile witnesses, and early church structures make the bodily resurrection and Catholic continuity historically credible?",con,Graham Oppy,William Albrecht,83,76,closed,7,82.5085248234426
79,swinburne-oppy-theism-probability-2022,Richard Swinburne vs Graham Oppy: Is Theism Probable?,Probability of theism,"Is theism more probable than naturalism when judged by simplicity, explanatory scope, fine-tuning, consciousness, and modality?",pro,Richard Swinburne,Graham Oppy,80,85,closed,-5,79.5085248234426
79,swinburne-oppy-theism-probability-2022,Richard Swinburne vs Graham Oppy: Is Theism Probable?,Probability of theism,"Is theism more probable than naturalism when judged by simplicity, explanatory scope, fine-tuning, consciousness, and modality?",con,Graham Oppy,Richard Swinburne,85,80,closed,5,84.5085248234426
80,rasmussen-schmid-argument-from-limits-2023,Josh Rasmussen vs Joe Schmid: The Argument from Limits,Argument from limits,Does the argument from arbitrary limits successfully move from a fundamental reality or necessary foundation toward God-like perfection?,pro,Josh Rasmussen,Joseph Schmid,84,90,closed,-6,83.5085248234426
80,rasmussen-schmid-argument-from-limits-2023,Josh Rasmussen vs Joe Schmid: The Argument from Limits,Argument from limits,Does the argument from arbitrary limits successfully move from a fundamental reality or necessary foundation toward God-like perfection?,con,Joseph Schmid,Josh Rasmussen,90,84,closed,6,89.5085248234426
81,rasmussen-oppy-ultimate-reality-naturalism-2020,"Josh Rasmussen vs Graham Oppy: Theism, Naturalism, and Ultimate Reality",Ultimate reality and naturalism,"Is a theistic supreme foundation or a naturalistic initial reality the better account of ultimate reality, mind, and worldview simplicity?",pro,Josh Rasmussen,Graham Oppy,81,85,closed,-4,80.5085248234426
81,rasmussen-oppy-ultimate-reality-naturalism-2020,"Josh Rasmussen vs Graham Oppy: Theism, Naturalism, and Ultimate Reality",Ultimate reality and naturalism,"Is a theistic supreme foundation or a naturalistic initial reality the better account of ultimate reality, mind, and worldview simplicity?",con,Graham Oppy,Josh Rasmussen,85,81,closed,4,84.5085248234426
82,bush-mcallister-moral-anti-realism-realism-2025,Lance Bush vs Derek McAllister: Moral Anti-Realism vs Realism,Metaethical anti-realism and realism,"Does moral realism have a common-sense, historical, or semantic advantage over moral anti-realism?",pro,Lance Bush,Derek McAllister,90,76,closed,14,89.5085248234426
82,bush-mcallister-moral-anti-realism-realism-2025,Lance Bush vs Derek McAllister: Moral Anti-Realism vs Realism,Metaethical anti-realism and realism,"Does moral realism have a common-sense, historical, or semantic advantage over moral anti-realism?",con,Derek McAllister,Lance Bush,76,90,closed,-14,75.5085248234426
83,loke-oppy-kalam-causal-principle-2020,Andrew Loke vs Graham Oppy: Is the Kalam Sound?,Kalam causal principle and necessity,Does Loke's reformulated Kalam cosmological argument successfully establish a beginningless personal creator of the universe?,pro,Andrew Loke,Graham Oppy,74,86,closed,-12,73.5085248234426
83,loke-oppy-kalam-causal-principle-2020,Andrew Loke vs Graham Oppy: Is the Kalam Sound?,Kalam causal principle and necessity,Does Loke's reformulated Kalam cosmological argument successfully establish a beginningless personal creator of the universe?,con,Graham Oppy,Andrew Loke,86,74,closed,12,85.5085248234426
85,atkins-fox-god-science-future-humanity-2024,Peter Atkins vs Keith Fox: God vs Science Debate,"Science, God, and human futures","Do science, evolution, and future technology make God unnecessary, or do value, personhood, origins, and hope point beyond scientific materialism?",pro,Peter Atkins,Keith Fox,70,85,closed,-15,69.5085248234426
85,atkins-fox-god-science-future-humanity-2024,Peter Atkins vs Keith Fox: God vs Science Debate,"Science, God, and human futures","Do science, evolution, and future technology make God unnecessary, or do value, personhood, origins, and hope point beyond scientific materialism?",con,Keith Fox,Peter Atkins,85,70,closed,15,84.5085248234426
86,egnor-dillahunty-god-existence-2021,Michael Egnor vs Matt Dillahunty: Does God Exist?,"Thomism, hiddenness, and morality","Does God exist, and do Thomistic proofs, moral law, and natural theology meet the burden of proof against skeptical atheism?",pro,Michael Egnor,Matt Dillahunty,71,83,closed,-12,70.5085248234426
86,egnor-dillahunty-god-existence-2021,Michael Egnor vs Matt Dillahunty: Does God Exist?,"Thomism, hiddenness, and morality","Does God exist, and do Thomistic proofs, moral law, and natural theology meet the burden of proof against skeptical atheism?",con,Matt Dillahunty,Michael Egnor,83,71,closed,12,82.5085248234426
87,christopoulos-dillahunty-resurrection-historical-event-2024,Than Christopoulos vs Matt Dillahunty: Is the Resurrection a Historical Event?,Resurrection probability and source reliability,Does the historical evidence make Jesus' resurrection more probable than competing hypotheses?,pro,Than Christopoulos,Matt Dillahunty,79,88,closed,-9,78.5085248234426
87,christopoulos-dillahunty-resurrection-historical-event-2024,Than Christopoulos vs Matt Dillahunty: Is the Resurrection a Historical Event?,Resurrection probability and source reliability,Does the historical evidence make Jesus' resurrection more probable than competing hypotheses?,con,Matt Dillahunty,Than Christopoulos,88,79,closed,9,87.5085248234426
88,sechler-dillahunty-perfect-mind-universe-2022,Zac Sechler vs Matt Dillahunty: Did a Perfect Mind Create the Universe?,Perfect mind and explanatory power,"Did a perfect mind create the universe, and do simplicity, moral agents, beauty, fine-tuning, meaning, and purpose favor that hypothesis over non-theism?",pro,Zac Sechler,Matt Dillahunty,79,83,closed,-4,78.5085248234426
88,sechler-dillahunty-perfect-mind-universe-2022,Zac Sechler vs Matt Dillahunty: Did a Perfect Mind Create the Universe?,Perfect mind and explanatory power,"Did a perfect mind create the universe, and do simplicity, moral agents, beauty, fine-tuning, meaning, and purpose favor that hypothesis over non-theism?",con,Matt Dillahunty,Zac Sechler,83,79,closed,4,82.5085248234426
89,bignon-oppy-religious-experience-god-2022,Guillaume Bignon vs Graham Oppy: Religious Experience and the Case for God,Religious experience and rationality,"Can Bignon's conversion story, religious experience, and supporting arguments rationally support Christian belief, or do rival experiences and naturalist explanations undercut their evidential force?",pro,Guillaume Bignon,Graham Oppy,82,87,closed,-5,81.5085248234426
89,bignon-oppy-religious-experience-god-2022,Guillaume Bignon vs Graham Oppy: Religious Experience and the Case for God,Religious experience and rationality,"Can Bignon's conversion story, religious experience, and supporting arguments rationally support Christian belief, or do rival experiences and naturalist explanations undercut their evidential force?",con,Graham Oppy,Guillaume Bignon,87,82,closed,5,86.5085248234426
90,akin-ehrman-gospels-historically-reliable-2022,Jimmy Akin vs Bart Ehrman: Are the Gospels Historically Reliable?,Gospel reliability and contradictions,"Are the canonical Gospels historically reliable despite alleged contradictions in the birth narratives, resurrection accounts, and Jesus' self-presentation?",pro,Jimmy Akin,Bart Ehrman,81,88,closed,-7,80.5085248234426
90,akin-ehrman-gospels-historically-reliable-2022,Jimmy Akin vs Bart Ehrman: Are the Gospels Historically Reliable?,Gospel reliability and contradictions,"Are the canonical Gospels historically reliable despite alleged contradictions in the birth narratives, resurrection accounts, and Jesus' self-presentation?",con,Bart Ehrman,Jimmy Akin,88,81,closed,7,87.5085248234426
91,cutter-oppy-mind-brain-harmony-god-2025,Brian Cutter vs Graham Oppy: Does Mind-Brain Harmony Point to God?,Psychophysical harmony and theism,"Does psychophysical harmony, the apparent fit between conscious states and physical or functional states, provide evidence for God over naturalism?",pro,Brian Cutter,Graham Oppy,85,85,closed,0,84.5085248234426
91,cutter-oppy-mind-brain-harmony-god-2025,Brian Cutter vs Graham Oppy: Does Mind-Brain Harmony Point to God?,Psychophysical harmony and theism,"Does psychophysical harmony, the apparent fit between conscious states and physical or functional states, provide evidence for God over naturalism?",con,Graham Oppy,Brian Cutter,85,85,closed,0,84.5085248234426
92,craig-malpass-universe-begin-exist-2020,William Lane Craig vs Alex Malpass: Did the Universe Begin to Exist?,Kalam beginning and temporal infinity,Do actual-infinity and successive-addition arguments give adequate philosophical support for the Kalam claim that the universe began to exist?,pro,William Lane Craig,Alex Malpass,79,90,closed,-11,78.5085248234426
92,craig-malpass-universe-begin-exist-2020,William Lane Craig vs Alex Malpass: Did the Universe Begin to Exist?,Kalam beginning and temporal infinity,Do actual-infinity and successive-addition arguments give adequate philosophical support for the Kalam claim that the universe began to exist?,con,Alex Malpass,William Lane Craig,90,79,closed,11,89.5085248234426
93,hunter-dillahunty-christian-god-exist-2019,Braxton Hunter vs Matt Dillahunty: Does the Christian God Exist?,Christian God evidential standards,"Does the Christian God exist, and do libertarian freedom, the Kalam argument, resurrection evidence, hiddenness, and inconsistent revelation make Christian theism more reasonable than skepticism?",pro,Braxton Hunter,Matt Dillahunty,77,86,closed,-9,76.5085248234426
93,hunter-dillahunty-christian-god-exist-2019,Braxton Hunter vs Matt Dillahunty: Does the Christian God Exist?,Christian God evidential standards,"Does the Christian God exist, and do libertarian freedom, the Kalam argument, resurrection evidence, hiddenness, and inconsistent revelation make Christian theism more reasonable than skepticism?",con,Matt Dillahunty,Braxton Hunter,86,77,closed,9,85.5085248234426
94,swinburne-huemer-theism-coherent-2026,Richard Swinburne vs Michael Huemer: Is Theism Coherent?,Theism coherence and divine infinity,"Is theism coherent, especially if God is described as omnipotent, omniscient, perfectly good, and infinite in power or knowledge?",pro,Richard Swinburne,Michael Huemer,75,83,closed,-8,74.5085248234426
94,swinburne-huemer-theism-coherent-2026,Richard Swinburne vs Michael Huemer: Is Theism Coherent?,Theism coherence and divine infinity,"Is theism coherent, especially if God is described as omnipotent, omniscient, perfectly good, and infinite in power or knowledge?",con,Michael Huemer,Richard Swinburne,83,75,closed,8,82.5085248234426
97,holland-grayling-christianity-human-values-2019,Tom Holland vs A. C. Grayling: Did Christianity Give Us Our Human Values?,Human values and Christian inheritance,"Did Christianity give the modern West its human values, or do dignity, equality, humanism, science, and moral concern owe more to classical, Axial Age, Enlightenment, and secular sources?",pro,Tom Holland,AC Grayling,78,84,closed,-6,77.5085248234426
97,holland-grayling-christianity-human-values-2019,Tom Holland vs A. C. Grayling: Did Christianity Give Us Our Human Values?,Human values and Christian inheritance,"Did Christianity give the modern West its human values, or do dignity, equality, humanism, science, and moral concern owe more to classical, Axial Age, Enlightenment, and secular sources?",con,AC Grayling,Tom Holland,84,78,closed,6,83.5085248234426
98,craig-grayling-evil-god-reasonable-2011,William Lane Craig vs A. C. Grayling: Is Belief in God Reasonable in Light of Evil?,Evil and divine reasonableness,"Is belief in God reasonable in light of tsunamis, childhood cancer, moral evil, and the apparent harshness of the natural world?",pro,William Lane Craig,AC Grayling,84,86,closed,-2,83.5085248234426
98,craig-grayling-evil-god-reasonable-2011,William Lane Craig vs A. C. Grayling: Is Belief in God Reasonable in Light of Evil?,Evil and divine reasonableness,"Is belief in God reasonable in light of tsunamis, childhood cancer, moral evil, and the apparent harshness of the natural world?",con,AC Grayling,William Lane Craig,86,84,closed,2,85.5085248234426
99,jones-jump-digital-physics-god-2019,Michael Jones vs Tom Jump: Does God Exist?,Digital physics and naturalistic pantheism,"Does God exist, and do emergent spacetime, quantum consciousness, idealism, and the limits of metaphysical knowledge make theism more reasonable than naturalistic alternatives?",pro,Michael Jones,Tom Jump,76,80,closed,-4,75.5085248234426
99,jones-jump-digital-physics-god-2019,Michael Jones vs Tom Jump: Does God Exist?,Digital physics and naturalistic pantheism,"Does God exist, and do emergent spacetime, quantum consciousness, idealism, and the limits of metaphysical knowledge make theism more reasonable than naturalistic alternatives?",con,Tom Jump,Michael Jones,80,76,closed,4,79.5085248234426
100,jones-dillahunty-emergent-mind-god-2020,Michael Jones vs Matt Dillahunty: Reason to Believe in God?,Emergent mind and evidential burden,"Do digital physics, cosmic consciousness, and introspective idealism provide good reasons to believe in a necessary immaterial mind, or do those arguments fail demonstrability, probability, and burden-of-proof standards?",pro,Michael Jones,Matt Dillahunty,73,91,closed,-18,72.5085248234426
