number,id,title,included,reason,theist_side,theist_label,theist_speaker,non_theist_side,non_theist_label,non_theist_speaker,theist_score,non_theist_score,margin_non_theist_minus_theist
128,craig-law-evil-god-challenge-2011,William Lane Craig vs Stephen Law: Does God Exist?,True,one published theistic/religious side and one published non-theistic/skeptical side,pro,Christian theism,William Lane Craig,con,Evil-God challenge,Stephen Law,76,88,12
129,plantinga-law-eaan-rational-belief-2010,Alvin Plantinga vs Stephen Law: Is the EAAN Successful?,False,"religion-adjacent, but no explicit theist-vs-non-theist side comparison",,,,,,,,,
130,licona-carrier-resurrection-history-2010,Mike Licona vs Richard Carrier: Did Jesus Rise From the Dead?,True,one published theistic/religious side and one published non-theistic/skeptical side,pro,Resurrection hypothesis,Mike Licona,con,Natural explanation,Richard Carrier,80,83,3
131,boyce-carrier-historical-jesus-mythicism-2022,Stephen Boyce vs Richard Carrier: Did Jesus Exist?,False,no position-level theist-vs-non-theist comparison,,,,,,,,,
132,mclatchie-carrier-paul-celestial-jesus-2018,Jonathan McLatchie vs Richard Carrier: Did Paul Believe in a Celestial Jesus?,False,no position-level theist-vs-non-theist comparison,,,,,,,,,
133,hawkins-folley-free-will-idealism-2026,"Nathan Hawkins vs Joe Folley: Free Will, Compatibilism, and Idealism",False,no position-level theist-vs-non-theist comparison,,,,,,,,,
134,macdonald-carrier-jesus-mythicism-mimesis-2025,Dennis R. MacDonald vs Richard Carrier: Did Jesus Exist?,False,no position-level theist-vs-non-theist comparison,,,,,,,,,
135,ehrman-price-historical-jesus-mythicism-2016,Bart Ehrman vs Robert Price: Did Jesus Exist?,False,no position-level theist-vs-non-theist comparison,,,,,,,,,
136,douthat-ehrman-resurrection-gospel-history-2026,Ross Douthat vs Bart Ehrman: Did Jesus Rise From the Dead?,True,one published theistic/religious side and one published non-theistic/skeptical side,pro,Historical-resurrection challenge,Ross Douthat,con,Skeptical historian,Bart Ehrman,84,86,2
137,price-craig-resurrection-historical-analogy-1999,Robert Price vs William Lane Craig: Did Jesus Rise From the Dead?,True,one published theistic/religious side and one published non-theistic/skeptical side,pro,Resurrection case,William Lane Craig,con,Historical-analogy critique,Robert Price,83,80,-3
138,albrecht-price-bodily-resurrection-2022,William Albrecht vs Robert Price: Did Jesus Bodily Rise from the Dead?,True,one published theistic/religious side and one published non-theistic/skeptical side,pro,Bodily resurrection case,William Albrecht,con,Historical-analogy skepticism,Robert Price,78,80,2
139,adelstein-dillahunty-belief-god-2025,Matthew Adelstein vs Matt Dillahunty: Should We Believe in God?,True,one published theistic/religious side and one published non-theistic/skeptical side,pro,Theistic evidential case,Matthew Adelstein,con,Evidential skepticism,Matt Dillahunty,81,89,8
140,rhodes-dillahunty-evidence-god-2021,Kenny Rhodes vs Matt Dillahunty: Is There Evidence for God?,True,one published theistic/religious side and one published non-theistic/skeptical side,pro,Classical-theist grounding,Kenny Rhodes,con,Skeptical evidentialism,Matt Dillahunty,70,88,18
141,fischer-dillahunty-axiomatic-evidence-god-2020,Ben Fischer vs Matt Dillahunty: Is There Good Evidence for God?,True,one published theistic/religious side and one published non-theistic/skeptical side,pro,Axiomatic theism,Ben Fischer,con,Evidential skepticism,Matt Dillahunty,68,86,18
142,comfort-dillahunty-gospel-atonement-2020,Ray Comfort vs Matt Dillahunty: Does the Gospel Make Sense?,True,one published theistic/religious side and one published non-theistic/skeptical side,pro,Evangelical atonement,Ray Comfort,con,Skeptical moral critique,Matt Dillahunty,68,86,18
143,vela-dillahunty-transcendental-evidence-god-2020,Tyler Vela vs Matt Dillahunty: Is There Good Evidence for God?,True,one published theistic/religious side and one published non-theistic/skeptical side,pro,Transcendental theism,Tyler Vela,con,Evidential skepticism,Matt Dillahunty,76,84,8
144,plantinga-dennett-evolution-naturalism-2018,"Alvin Plantinga vs Daniel Dennett: Science, Religion, and Evolution",True,one published theistic/religious side and one published non-theistic/skeptical side,pro,Theistic compatibility,Alvin Plantinga,con,Naturalist explanation,Daniel Dennett,83,84,1
145,dennett-dsouza-god-human-invention-2007,Daniel Dennett vs Dinesh D'Souza: Is God a Human Invention?,True,one published theistic/religious side and one published non-theistic/skeptical side,con,Theistic explanation,Dinesh D'Souza,pro,Religion as human invention,Daniel Dennett,75,80,5
146,harris-dennett-free-will-2018,Sam Harris vs Daniel Dennett: Does Free Will Exist?,False,no position-level theist-vs-non-theist comparison,,,,,,,,,
147,dennett-clayton-naturalism-ultimate-reality-2012,Daniel Dennett vs Philip Clayton: Naturalism and Ultimate Reality,True,one published theistic/religious side and one published non-theistic/skeptical side,con,Religious ultimacy,Philip Clayton,pro,Naturalist inquiry,Daniel Dennett,82,85,3
148,baggett-dillahunty-moral-argument-2018,David Baggett vs Matt Dillahunty: The Moral Argument for God,True,one published theistic/religious side and one published non-theistic/skeptical side,pro,Theistic moral explanation,David Baggett,con,Secular moral inquiry,Matt Dillahunty,85,86,1
150,licona-dillahunty-resurrection-evidence-2017,Mike Licona vs Matt Dillahunty: Was Jesus Raised from the Dead?,True,one published theistic/religious side and one published non-theistic/skeptical side,pro,Resurrection hypothesis,Mike Licona,con,Skeptical evidentialism,Matt Dillahunty,79,88,9
151,wood-dillahunty-god-secular-humanism-2020,David Wood vs Matt Dillahunty: God or Secular Humanism?,True,one published theistic/religious side and one published non-theistic/skeptical side,pro,Theistic moral realism,David Wood,con,Secular humanism,Matt Dillahunty,79,84,5
152,knechtle-aron-ra-god-existence-2023,Stuart Knechtle vs Aron Ra: Does God Exist?,True,one published theistic/religious side and one published non-theistic/skeptical side,pro,Christian theism,Stuart Knechtle,con,Atheistic naturalism,Aron Ra,71,78,7
153,oconnor-carter-free-will-determinism-2024,Alex O'Connor vs Dr Alex Carter: Free Will and Determinism,False,no position-level theist-vs-non-theist comparison,,,,,,,,,
155,turek-shermer-morality-god-science-2015,Frank Turek vs Michael Shermer: Is Morality Better Explained by God or Science?,True,one published theistic/religious side and one published non-theistic/skeptical side,pro,Theistic moral grounding,Frank Turek,con,Evolutionary moral realism,Michael Shermer,76,79,3
156,harris-prager-religion-morality-public-reason-2014,"Sam Harris vs Dennis Prager: Religion, Morality, and Public Reason",True,one published theistic/religious side and one published non-theistic/skeptical side,pro,Divine moral authority,Dennis Prager,con,Secular ethical realism,Sam Harris,70,81,11
157,dillahunty-howitt-christianity-true-2023,Matt Dillahunty vs Lewis Howitt: Is Christianity True?,True,one published theistic/religious side and one published non-theistic/skeptical side,pro,Christian logos,Lewis Howitt (PerspectivePhilosophy),con,Skeptical empiricism,Matt Dillahunty,71,88,17
158,dillahunty-mclatchie-resurrection-evidence-2020,Matt Dillahunty vs Jonathan McLatchie: Is There Strong Evidence for the Resurrection?,True,one published theistic/religious side and one published non-theistic/skeptical side,pro,Historical resurrection case,Dr Jonathan McLatchie,con,Skeptical historical standard,Matt Dillahunty,78,83,5
159,wood-aron-ra-naturalism-2023,David Wood vs Aron Ra: Is Naturalism True?,False,"religion-adjacent, but no explicit theist-vs-non-theist side comparison",,,,,,,,,
160,pinker-douthat-do-we-need-god-2026,Steven Pinker vs Ross Douthat: Do We Need God?,True,one published theistic/religious side and one published non-theistic/skeptical side,pro,Theistic case,Ross Douthat,con,Secular-humanist case,Steven Pinker,80,85,5
161,craig-millican-does-god-exist-2011,William Lane Craig vs Peter Millican: Does God Exist?,True,one published theistic/religious side and one published non-theistic/skeptical side,pro,Christian theist,William Lane Craig,con,Skeptical atheist,Peter Millican,75,87,12
162,craig-kagan-god-morality-2009,William Lane Craig vs Shelly Kagan: Is God Necessary for Morality?,True,one published theistic/religious side and one published non-theistic/skeptical side,pro,Theistic moral grounding,William Lane Craig,con,Secular moral realism,Shelly Kagan,76,85,9
163,craig-draper-existence-of-god-1997,William Lane Craig vs Paul Draper: The Existence of God,True,one published theistic/religious side and one published non-theistic/skeptical side,pro,Christian theism,William Lane Craig,con,Agnostic naturalism,Paul Draper,78,85,7
164,craig-wielenberg-god-morality-2018,William Lane Craig vs Erik Wielenberg: God and Morality,True,one published theistic/religious side and one published non-theistic/skeptical side,pro,Theistic moral grounding,William Lane Craig,con,Godless normative realism,Erik Wielenberg,80,84,4
165,craig-rosenberg-faith-god-reasonable-2013,William Lane Craig vs Alex Rosenberg: Is Faith in God Reasonable?,True,one published theistic/religious side and one published non-theistic/skeptical side,pro,Theistic explanation,William Lane Craig,con,Scientific naturalism,Alex Rosenberg,81,76,-5
166,craig-atkins-does-god-exist-2011,William Lane Craig vs Peter Atkins: Does God Exist?,True,one published theistic/religious side and one published non-theistic/skeptical side,pro,Classical theism,William Lane Craig,con,Scientific naturalism,Peter Atkins,83,73,-10
167,craig-shook-existence-god-2008,William Lane Craig vs John Shook: The Existence of God,True,one published theistic/religious side and one published non-theistic/skeptical side,pro,Theistic supernaturalism,William Lane Craig,con,Philosophical naturalism,John Shook,76,83,7
168,craig-krauss-evidence-god-2012,William Lane Craig vs Lawrence Krauss: Is There Evidence for God?,True,one published theistic/religious side and one published non-theistic/skeptical side,pro,Evidence for theism,William Lane Craig,con,Empirical naturalism,Lawrence Krauss,83,81,-2
169,lennox-krauss-universe-god-question-2013,"John Lennox vs Lawrence Krauss: Science, the Universe, and the God Question",True,one published theistic/religious side and one published non-theistic/skeptical side,pro,Theistic explanation,John Lennox,con,Physical cosmology,Lawrence Krauss,76,84,8
170,singer-lennox-is-there-god-2011,Peter Singer vs John Lennox: Is There a God?,True,one published theistic/religious side and one published non-theistic/skeptical side,pro,Christian theism,John Lennox,con,Secular naturalism,Peter Singer,75,86,11
171,hitchens-blair-religion-force-good-2010,Christopher Hitchens vs Tony Blair: Is Religion a Force for Good in the World?,True,one published theistic/religious side and one published non-theistic/skeptical side,pro,Religion is a force for good,Tony Blair,con,Religion is not a force for good,Christopher Hitchens,83,85,2
172,hitchens-mcgrath-religious-belief-2007,Christopher Hitchens vs Alister McGrath: Poison or Cure? Religious Belief in the Modern World,True,one published theistic/religious side and one published non-theistic/skeptical side,pro,Christian belief as credible and constructive,Alister McGrath,con,Religion as unsupported and coercive,Christopher Hitchens,80,80,0
175,oppy-pearce-is-there-a-god-2022,Graham Oppy vs Kenny Pearce: Is There a God?,True,one published theistic/religious side and one published non-theistic/skeptical side,pro,Theism,Kenny Pearce,con,Naturalism,Graham Oppy,84,88,4
176,ehrman-peter-williams-gospels-historically-reliable-2018,Bart Ehrman vs Peter J. Williams: Are the Gospels Historically Reliable?,True,one published theistic/religious side and one published non-theistic/skeptical side,pro,The Gospels are historically reliable,Peter J. Williams,con,The Gospels are not reliable throughout,Bart Ehrman,83,86,3
177,ehrman-wallace-trust-text-new-testament-2011,Bart Ehrman vs Daniel B. Wallace: Can We Trust the Text of the New Testament?,True,one published theistic/religious side and one published non-theistic/skeptical side,pro,The text is substantially recoverable,Daniel B. Wallace,con,Autographic certainty is unavailable,Bart Ehrman,83,88,5
178,ehrman-licona-who-wrote-gospels-2025,Bart Ehrman vs Michael Licona: Who Wrote the Gospels?,True,one published theistic/religious side and one published non-theistic/skeptical side,pro,Traditional authorship,Michael Licona,con,Anonymous later authorship,Bart Ehrman,81,87,6
179,craig-ehrman-historical-evidence-resurrection-2006,William Lane Craig vs Bart Ehrman: Is There Historical Evidence for the Resurrection?,True,one published theistic/religious side and one published non-theistic/skeptical side,pro,Historical evidence supports resurrection,William Lane Craig,con,History cannot establish resurrection,Bart Ehrman,84,83,-1
180,ally-licona-did-jesus-rise-dead-2004,Shabir Ally vs Michael Licona: Did Jesus Rise from the Dead?,False,both published sides are theistic/religious,,,,,,,,,
181,habermas-flew-did-jesus-rise-dead-2000,Gary Habermas vs Antony Flew: Did Jesus Rise from the Dead?,True,one published theistic/religious side and one published non-theistic/skeptical side,pro,Resurrection is the best explanation,Gary Habermas,con,Resurrection is not established,Antony Flew,87,86,-1
182,white-ally-sin-salvation-quran-bible-2013,James White vs Shabir Ally: Sin and Salvation in the Qur'an and the Bible,False,both published sides are theistic/religious,,,,,,,,,
183,enoch-clarke-doane-moral-realism-objectivity-2026,David Enoch vs Justin Clarke-Doane: Moral Realism and Objectivity,False,no position-level theist-vs-non-theist comparison,,,,,,,,,
185,dennett-caruso-free-will-responsibility-2021,Daniel Dennett vs Gregg Caruso: Free Will and Moral Responsibility,False,no position-level theist-vs-non-theist comparison,,,,,,,,,
186,huemer-sapolsky-free-will-determinism-2024,Michael Huemer vs Robert Sapolsky: Does Free Will Exist—and Does It Matter?,False,no position-level theist-vs-non-theist comparison,,,,,,,,,
187,ward-dennett-more-than-matter-2019,Keith Ward vs Daniel Dennett: Are We More Than Matter?,False,"religion-adjacent, but no explicit theist-vs-non-theist side comparison",,,,,,,,,
188,kastrup-blackmore-consciousness-idealism-2023,Bernardo Kastrup vs Susan Blackmore: What Is Consciousness?,False,no position-level theist-vs-non-theist comparison,,,,,,,,,
189,tour-cronin-origin-of-life-2020,James Tour vs Lee Cronin: Are We Close to Discovering the Origin of Life?,False,no position-level theist-vs-non-theist comparison,,,,,,,,,
190,huemer-oppy-souls-personal-identity-2022,Michael Huemer vs Graham Oppy: Do Souls Exist?,False,no position-level theist-vs-non-theist comparison,,,,,,,,,
191,ruse-rana-origin-life-evolution-design-2013,Michael Ruse vs Fuz Rana: Evolution or Design at Life's Origin?,True,one published theistic/religious side and one published non-theistic/skeptical side,pro,Natural processes are sufficient,Michael Ruse,con,Intelligent agency is required,Fuz Rana,82,81,-1
192,tour-swamidass-origin-life-chemistry-2020,James Tour vs S. Joshua Swamidass: How Close Is Origin-of-Life Science?,False,no position-level theist-vs-non-theist comparison,,,,,,,,,
193,crossan-licona-historical-jesus-2018,John Dominic Crossan vs Michael Licona: Who Was the Historical Jesus?,False,both published sides are theistic/religious,,,,,,,,,
194,swinburne-millican-does-god-exist-2022,Richard Swinburne vs Peter Millican: Does God Exist?,True,one published theistic/religious side and one published non-theistic/skeptical side,pro,God is the best explanation,Richard Swinburne,con,The evidence does not support God,Peter Millican,81,88,7
195,russell-copleston-existence-of-god-1948,Bertrand Russell vs Frederick Copleston: Does God Exist?,True,one published theistic/religious side and one published non-theistic/skeptical side,pro,God's existence can be established,Frederick Copleston,con,The arguments do not establish God,Bertrand Russell,78,80,2
196,huemer-rasmussen-god-existence-2026,Michael Huemer vs Joshua Rasmussen: Does God Exist?,True,one published theistic/religious side and one published non-theistic/skeptical side,pro,God exists,Josh Rasmussen,con,God's existence is not established,Michael Huemer,77,79,2
197,mcgilchrist-seth-consciousness-god-2026,Iain McGilchrist vs Anil Seth: Does Consciousness Point to God?,True,one published theistic/religious side and one published non-theistic/skeptical side,pro,Consciousness points toward God,Iain McGilchrist,con,Consciousness does not establish God,Anil Seth,74,83,9
198,ferrer-dillahunty-god-morality-2018,John Ferrer vs Matt Dillahunty: Do We Need God for Morality?,True,one published theistic/religious side and one published non-theistic/skeptical side,pro,Divine grounding,John Ferrer,con,Secular morality,Matt Dillahunty,67,83,16
199,crummett-watkins-soul-existence-2020,Dustin Crummett vs Ben Watkins: Does the Soul Exist?,False,"religion-adjacent, but no explicit theist-vs-non-theist side comparison",,,,,,,,,
200,craig-stenger-god-existence-2010,William Lane Craig vs Victor Stenger: Does God Exist?,True,one published theistic/religious side and one published non-theistic/skeptical side,pro,Christian theism,William Lane Craig,con,Scientific naturalism,Victor Stenger,76,69,-7
201,hernandez-dillahunty-soul-existence-2015,Does the Soul Exist? Eric Hernandez vs. Matt Dillahunty (2015),False,"religion-adjacent, but no explicit theist-vs-non-theist side comparison",,,,,,,,,
202,dawkins-lennox-god-delusion-2007,Is Belief in God a Delusion? Richard Dawkins vs. John Lennox (2007),True,one published theistic/religious side and one published non-theistic/skeptical side,con,Christian theism,John Lennox,pro,Atheistic naturalism,Richard Dawkins,72,76,4
203,craig-flew-god-existence-1998,Does God Exist? William Lane Craig vs. Antony Flew (1998),True,one published theistic/religious side and one published non-theistic/skeptical side,pro,Theism,William Lane Craig,con,Atheistic skepticism,Antony Flew,74,77,3
204,singer-dsouza-morality-without-god-2008,Can There Be Morality Without God? Dinesh D'Souza vs. Peter Singer (2008),True,one published theistic/religious side and one published non-theistic/skeptical side,pro,Morality requires God,Dinesh D'Souza,con,Morality without God,Peter Singer,71,81,10
205,horn-watkins-god-existence-2021,Does God Exist? Trent Horn vs. Ben Watkins (2021),True,one published theistic/religious side and one published non-theistic/skeptical side,pro,Classical theism,Trent Horn,con,Metaphysical naturalism,Ben Watkins,71,75,4
206,williams-dawkins-god-science-reality-2026,"God, Science and the Poetry of Reality: Rowan Williams vs. Richard Dawkins (2026)",True,one published theistic/religious side and one published non-theistic/skeptical side,pro,Christian theism,Rowan Williams,con,Scientific naturalism,Richard Dawkins,76,77,1
207,peterson-dawkins-memes-archetypes-truth-2024,"Memes, Archetypes, and Religious Truth: Jordan Peterson vs. Richard Dawkins (2024)",True,one published theistic/religious side and one published non-theistic/skeptical side,pro,Symbolic religious realism,Jordan Peterson,con,Scientific naturalism,Richard Dawkins,74,86,12
208,vela-jones-divine-hiddenness-christian-love-2023,Divine Hiddenness and Christian Love: Tyler Vela vs. Michael Jones (2023),False,both published sides are theistic/religious,,,,,,,,,
209,oconnor-ruegger-divine-hiddenness-loving-god-2022,Divine Hiddenness and a Loving God: Alex O'Connor vs. Lukas Ruegger (2022),True,one published theistic/religious side and one published non-theistic/skeptical side,con,Christian hiddenness defense,Lukas Ruegger,pro,Divine-hiddenness critique,Alex O'Connor,75,85,10
210,paterson-schmid-divine-hiddenness-relationship-2026,Divine Hiddenness and Religious Evidence: Joe Schmid vs. Dan Paterson (2026),True,one published theistic/religious side and one published non-theistic/skeptical side,con,Christian hiddenness defense,Dan Paterson,pro,Evidential divine-hiddenness critique,Joe Schmid,83,88,5
211,baggini-baker-hytch-divine-hiddenness-2025,Divine Hiddenness and Evidential Ambiguity: Julian Baggini vs. Max Baker-Hytch (2025),True,one published theistic/religious side and one published non-theistic/skeptical side,con,Christian evidential-ambiguity defense,Max Baker-Hytch,pro,Atheistic hiddenness critique,Julian Baggini,82,80,-2
212,craig-carrier-resurrection-2009,Resurrection Evidence and Naturalistic Alternatives: William Lane Craig vs. Richard Carrier (2009),True,one published theistic/religious side and one published non-theistic/skeptical side,pro,Historical resurrection case,William Lane Craig,con,Naturalistic resurrection critique,Richard Carrier,80,80,0
213,peterson-zizek-capitalism-marxism-happiness-2019,"Capitalism, Marxism, and Human Happiness: Jordan Peterson vs. Slavoj Žižek (2019)",False,no position-level theist-vs-non-theist comparison,,,,,,,,,
214,pageau-woodford-metaphorical-truth-2020,Metaphorical Truth and Religious Patterns: Jonathan Pageau vs. Stephen Woodford (2020),True,one published theistic/religious side and one published non-theistic/skeptical side,pro,Participatory religious patterns as enduring truth,Jonathan Pageau,con,Evolutionary scrutiny and contextual revision,Stephen Woodford,74,78,4
215,horn-oconnor-christian-belief-2022,Why Be a Christian? Trent Horn vs. Alex O'Connor (2022),True,one published theistic/religious side and one published non-theistic/skeptical side,pro,Cumulative Christian evidential case,Trent Horn,con,Skeptical evidential objections,Alex O'Connor,74,84,10
216,harris-wolpe-religion-science-2007,"Religion, Science, and Meaning: Sam Harris vs. David Wolpe (2007)",True,one published theistic/religious side and one published non-theistic/skeptical side,pro,Religious meaning and transcendent faith,David Wolpe,con,Scientific naturalism and evidential skepticism,Sam Harris,68,83,15
217,douthat-oconnor-religious-belief-obligation-2026,Religious Belief as an Obligation: Ross Douthat vs. Alex O'Connor (2026),True,one published theistic/religious side and one published non-theistic/skeptical side,pro,Religious belief as rational obligation,Ross Douthat,con,Skeptical evidential challenge,Alex O'Connor,69,84,15
218,mcgrath-oconnor-new-atheism-failure-2023,Has New Atheism Failed? Alister McGrath vs. Alex O'Connor (2023),True,one published theistic/religious side and one published non-theistic/skeptical side,pro,New Atheism has failed,Alister McGrath,con,Critical reassessment of New Atheism,Alex O'Connor,73,83,10
219,shermer-mcgrath-god-imagination-2017,Is God a Figment of Our Imagination? Michael Shermer vs. Alister McGrath (2017),True,one published theistic/religious side and one published non-theistic/skeptical side,con,God is not merely imaginary,Alister McGrath,pro,God is a human construction,Michael Shermer,72,77,5
220,hirsi-ali-oconnor-christian-conversion-2024,Does Christian Conversion Establish Truth? Ayaan Hirsi Ali vs. Alex O'Connor (2024),True,one published theistic/religious side and one published non-theistic/skeptical side,pro,Christian belief is personally and rationally justified,Ayaan Hirsi Ali,con,Transformation and cultural value do not establish Christian truth,Alex O'Connor,71,83,12
221,huemer-loeb-moral-realism-2022,Is Moral Realism Better Supported? Michael Huemer vs. Don Loeb (2022),False,no position-level theist-vs-non-theist comparison,,,,,,,,,
222,lennox-shermer-god-existence-2008,Does God Exist? John Lennox vs. Michael Shermer (2008),True,one published theistic/religious side and one published non-theistic/skeptical side,pro,God exists,John Lennox,con,Evidence does not warrant belief in God,Michael Shermer,76,81,5
223,collins-dawkins-science-belief-god-2022,Science and Belief in God: Francis Collins vs. Richard Dawkins (2022),True,one published theistic/religious side and one published non-theistic/skeptical side,pro,Scientific understanding leaves rational grounds for belief in God,Francis Collins,con,Scientific understanding provides no need for God,Richard Dawkins,76,83,7
224,hossenfelder-kastrup-superdeterminism-2022,Is Superdeterminism Scientifically Justified? Sabine Hossenfelder vs. Bernardo Kastrup (2022),False,no position-level theist-vs-non-theist comparison,,,,,,,,,
225,kastrup-jump-analytic-idealism-materialism-2023,Does Analytic Idealism Explain Consciousness Better? Bernardo Kastrup vs. Tom Jump (2023),False,no position-level theist-vs-non-theist comparison,,,,,,,,,
226,horn-white-purgatory-2024,Is the Doctrine of Purgatory True? Trent Horn vs. James White (2024),False,both published sides are theistic/religious,,,,,,,,,
