number,debate_id,title,cohort,pro_speaker,con_speaker,pro_score,con_score,higher_side,lower_side,margin,tie,pro_moves,con_moves,pro_fallacy_tagged_moves,con_fallacy_tagged_moves,pro_fallacy_instances,con_fallacy_instances,pro_bias_instances,con_bias_instances,lower_fallacy_tagged_moves,higher_fallacy_tagged_moves,lower_fallacy_instances,higher_fallacy_instances,lower_bias_instances,higher_bias_instances
116,bertuzzi-schieber-evil-evidence-2019,Cameron Bertuzzi vs Justin Schieber: The Problem of Evil,closed,Cameron Bertuzzi,Justin Schieber,78,87,con,pro,9,False,8,11,0,0,0,0,0,0,0,0,0,0,0,0
117,bertuzzi-oconnor-contingency-argument-2018,Alex O'Connor vs Cameron Bertuzzi: Something From Nothing?,closed,Cameron Bertuzzi,Alex O'Connor,81,87,con,pro,6,False,10,10,0,0,0,0,0,0,0,0,0,0,0,0
118,hernandez-schieber-god-existence-2023,Eric Hernandez vs Justin Schieber: Does God Exist?,closed,Eric Hernandez,Justin Schieber,74,85,con,pro,11,False,8,11,0,0,0,0,0,0,0,0,0,0,0,0
119,jones-oconnor-hell-2023,Michael Jones vs Alex O'Connor: Does God Send People to Hell?,closed,Michael Jones,Alex O'Connor,80,87,con,pro,7,False,10,9,0,0,0,0,0,0,0,0,0,0,0,0
120,mclatchie-oconnor-christianity-true-2019,Jonathan McLatchie vs Alex O'Connor: Is Christianity True?,closed,Jonathan McLatchie,Alex O'Connor,83,83,tie,tie,0,True,10,9,0,0,0,0,0,0,,,,,,
121,dawkins-lennox-science-buried-god-2017,Richard Dawkins vs John Lennox: Has Science Buried God?,closed,John Lennox,Richard Dawkins,76,82,con,pro,6,False,9,9,0,0,0,0,0,0,0,0,0,0,0,0
122,horn-oconnor-god-existence-2020,Trent Horn vs Alex O'Connor: Does God Exist?,closed,Trent Horn,Alex O'Connor,77,83,con,pro,6,False,10,8,0,0,0,0,0,0,0,0,0,0,0,0
123,oconnor-pine-divine-hiddenness-2024,Gregory Pine vs Alex O'Connor: The Divine Hiddenness Problem,closed,Gregory Pine,Alex O'Connor,74,87,con,pro,13,False,10,10,0,0,0,0,0,0,0,0,0,0,0,0
124,harris-peterson-god-atheism-bible-2018,"Sam Harris vs Jordan Peterson: God, Atheism, The Bible, Jesus",closed,Jordan Peterson,Sam Harris,78,84,con,pro,6,False,12,12,0,0,0,0,0,0,0,0,0,0,0,0
125,knechtles-oconnor-bible-ethics-grace-2024,"Cliffe and Stuart Knechtle vs Alex O'Connor: Bible Slavery, Women, and Forgiveness",no_ledger,Cliffe and Stuart Knechtle,Alex O'Connor,74,86,con,pro,12,False,9,9,5,0,5,0,1,0,5,0,5,0,1,0
126,craig-clifton-kalam-cosmological-argument-2021,William Lane Craig vs Scott Clifton: The Kalam Cosmological Argument,closed,William Lane Craig,Scott Clifton,82,88,con,pro,6,False,9,9,1,1,1,1,0,0,1,1,1,1,0,0
127,slick-clifton-objective-morality-god-2014,Matt Slick vs Scott Clifton: Does Objective Morality Require God?,closed,Matt Slick,Scott Clifton,70,89,con,pro,19,False,12,11,0,0,0,0,0,0,0,0,0,0,0,0
128,craig-law-evil-god-challenge-2011,William Lane Craig vs Stephen Law: Does God Exist?,closed,William Lane Craig,Stephen Law,76,88,con,pro,12,False,10,8,2,1,2,1,0,1,2,1,2,1,0,1
129,plantinga-law-eaan-rational-belief-2010,Alvin Plantinga vs Stephen Law: Is the EAAN Successful?,closed,Alvin Plantinga,Stephen Law,81,81,tie,tie,0,True,10,7,0,0,0,0,0,0,,,,,,
130,licona-carrier-resurrection-history-2010,Mike Licona vs Richard Carrier: Did Jesus Rise From the Dead?,closed,Mike Licona,Richard Carrier,80,83,con,pro,3,False,8,8,0,0,0,0,0,0,0,0,0,0,0,0
131,boyce-carrier-historical-jesus-mythicism-2022,Stephen Boyce vs Richard Carrier: Did Jesus Exist?,closed,Stephen Boyce,Richard Carrier,78,83,con,pro,5,False,10,10,0,0,0,0,0,0,0,0,0,0,0,0
132,mclatchie-carrier-paul-celestial-jesus-2018,Jonathan McLatchie vs Richard Carrier: Did Paul Believe in a Celestial Jesus?,closed,Jonathan McLatchie,Richard Carrier,80,83,con,pro,3,False,9,10,0,0,0,0,0,0,0,0,0,0,0,0
133,hawkins-folley-free-will-idealism-2026,"Nathan Hawkins vs Joe Folley: Free Will, Compatibilism, and Idealism",closed,Nathan Hawkins,Joe Folley,77,85,con,pro,8,False,10,8,0,0,0,0,0,0,0,0,0,0,0,0
134,macdonald-carrier-jesus-mythicism-mimesis-2025,Dennis R. MacDonald vs Richard Carrier: Did Jesus Exist?,closed,Dennis R. MacDonald,Richard Carrier,79,81,con,pro,2,False,10,10,0,0,0,0,0,0,0,0,0,0,0,0
135,ehrman-price-historical-jesus-mythicism-2016,Bart Ehrman vs Robert Price: Did Jesus Exist?,closed,Bart Ehrman,Robert Price,86,81,pro,con,5,False,12,12,0,0,0,0,0,0,0,0,0,0,0,0
136,douthat-ehrman-resurrection-gospel-history-2026,Ross Douthat vs Bart Ehrman: Did Jesus Rise From the Dead?,closed,Ross Douthat,Bart Ehrman,84,86,con,pro,2,False,8,10,0,0,0,0,0,0,0,0,0,0,0,0
137,price-craig-resurrection-historical-analogy-1999,Robert Price vs William Lane Craig: Did Jesus Rise From the Dead?,closed,William Lane Craig,Robert Price,83,80,pro,con,3,False,9,10,0,0,0,0,0,0,0,0,0,0,0,0
138,albrecht-price-bodily-resurrection-2022,William Albrecht vs Robert Price: Did Jesus Bodily Rise from the Dead?,closed,William Albrecht,Robert Price,78,80,con,pro,2,False,9,10,0,0,0,0,0,0,0,0,0,0,0,0
139,adelstein-dillahunty-belief-god-2025,Matthew Adelstein vs Matt Dillahunty: Should We Believe in God?,closed,Matthew Adelstein,Matt Dillahunty,81,89,con,pro,8,False,10,10,0,0,0,0,0,0,0,0,0,0,0,0
140,rhodes-dillahunty-evidence-god-2021,Kenny Rhodes vs Matt Dillahunty: Is There Evidence for God?,closed,Kenny Rhodes,Matt Dillahunty,70,88,con,pro,18,False,10,10,1,1,1,1,0,0,1,1,1,1,0,0
141,fischer-dillahunty-axiomatic-evidence-god-2020,Ben Fischer vs Matt Dillahunty: Is There Good Evidence for God?,closed,Ben Fischer,Matt Dillahunty,68,86,con,pro,18,False,10,10,0,0,0,0,0,0,0,0,0,0,0,0
142,comfort-dillahunty-gospel-atonement-2020,Ray Comfort vs Matt Dillahunty: Does the Gospel Make Sense?,closed,Ray Comfort,Matt Dillahunty,68,86,con,pro,18,False,10,10,1,0,1,0,3,0,1,0,1,0,3,0
143,vela-dillahunty-transcendental-evidence-god-2020,Tyler Vela vs Matt Dillahunty: Is There Good Evidence for God?,closed,Tyler Vela,Matt Dillahunty,76,84,con,pro,8,False,10,10,2,0,2,0,0,1,2,0,2,0,0,1
144,plantinga-dennett-evolution-naturalism-2018,"Alvin Plantinga vs Daniel Dennett: Science, Religion, and Evolution",closed,Alvin Plantinga,Daniel Dennett,83,84,con,pro,1,False,10,9,0,0,0,0,0,0,0,0,0,0,0,0
145,dennett-dsouza-god-human-invention-2007,Daniel Dennett vs Dinesh D'Souza: Is God a Human Invention?,closed,Daniel Dennett,Dinesh D'Souza,80,75,pro,con,5,False,9,10,0,0,0,0,0,0,0,0,0,0,0,0
146,harris-dennett-free-will-2018,Sam Harris vs Daniel Dennett: Does Free Will Exist?,closed,Sam Harris,Daniel Dennett,82,88,con,pro,6,False,10,10,0,0,0,0,0,0,0,0,0,0,0,0
147,dennett-clayton-naturalism-ultimate-reality-2012,Daniel Dennett vs Philip Clayton: Naturalism and Ultimate Reality,closed,Daniel Dennett,Philip Clayton,85,82,pro,con,3,False,9,8,0,0,0,0,0,0,0,0,0,0,0,0
148,baggett-dillahunty-moral-argument-2018,David Baggett vs Matt Dillahunty: The Moral Argument for God,closed,David Baggett,Matt Dillahunty,85,86,con,pro,1,False,11,10,0,0,0,0,0,0,0,0,0,0,0,0
149,alexander-moody-carroll-novella-death-2014,Eben Alexander and Raymond Moody vs Sean Carroll and Steven Novella: Is Death Final?,no_ledger,Eben Alexander and Raymond Moody,Sean Carroll and Steven Novella,58,86,con,pro,28,False,5,5,3,0,3,0,1,0,3,0,3,0,1,0
150,licona-dillahunty-resurrection-evidence-2017,Mike Licona vs Matt Dillahunty: Was Jesus Raised from the Dead?,closed,Mike Licona,Matt Dillahunty,79,88,con,pro,9,False,9,10,0,0,0,0,0,0,0,0,0,0,0,0
151,wood-dillahunty-god-secular-humanism-2020,David Wood vs Matt Dillahunty: God or Secular Humanism?,closed,David Wood,Matt Dillahunty,79,84,con,pro,5,False,10,10,0,0,0,0,0,0,0,0,0,0,0,0
152,knechtle-aron-ra-god-existence-2023,Stuart Knechtle vs Aron Ra: Does God Exist?,closed,Stuart Knechtle,Aron Ra,71,78,con,pro,7,False,11,12,0,0,0,0,0,0,0,0,0,0,0,0
153,oconnor-carter-free-will-determinism-2024,Alex O'Connor vs Dr Alex Carter: Free Will and Determinism,closed,Alex O'Connor,Alex Carter,79,82,con,pro,3,False,9,9,0,0,0,0,0,0,0,0,0,0,0,0
154,koukl-oconnor-kanojia-nonbelief-harm-2025,"Greg Koukl, Alex O'Connor, and Alok Kanojia: Does Nonbelief Cause More Harm Than Good?",no_ledger,Greg Koukl,Alex O'Connor and Alok Kanojia,67,79,con,pro,12,False,6,6,2,1,2,1,0,0,2,1,2,1,0,0
155,turek-shermer-morality-god-science-2015,Frank Turek vs Michael Shermer: Is Morality Better Explained by God or Science?,closed,Frank Turek,Michael Shermer,76,79,con,pro,3,False,10,9,0,0,0,0,0,0,0,0,0,0,0,0
156,harris-prager-religion-morality-public-reason-2014,"Sam Harris vs Dennis Prager: Religion, Morality, and Public Reason",closed,Dennis Prager,Sam Harris,70,81,con,pro,11,False,5,8,0,0,0,0,0,0,0,0,0,0,0,0
157,dillahunty-howitt-christianity-true-2023,Matt Dillahunty vs Lewis Howitt: Is Christianity True?,closed,Lewis Howitt (PerspectivePhilosophy),Matt Dillahunty,71,88,con,pro,17,False,11,12,0,0,0,0,0,0,0,0,0,0,0,0
158,dillahunty-mclatchie-resurrection-evidence-2020,Matt Dillahunty vs Jonathan McLatchie: Is There Strong Evidence for the Resurrection?,closed,Dr Jonathan McLatchie,Matt Dillahunty,78,83,con,pro,5,False,10,10,0,0,0,0,0,0,0,0,0,0,0,0
159,wood-aron-ra-naturalism-2023,David Wood vs Aron Ra: Is Naturalism True?,closed,David Wood,Aron Ra,81,79,pro,con,2,False,10,8,0,0,0,0,0,0,0,0,0,0,0,0
160,pinker-douthat-do-we-need-god-2026,Steven Pinker vs Ross Douthat: Do We Need God?,closed,Ross Douthat,Steven Pinker,80,85,con,pro,5,False,8,9,0,0,0,0,0,0,0,0,0,0,0,0
161,craig-millican-does-god-exist-2011,William Lane Craig vs Peter Millican: Does God Exist?,closed,William Lane Craig,Peter Millican,75,87,con,pro,12,False,12,11,0,0,0,0,0,0,0,0,0,0,0,0
162,craig-kagan-god-morality-2009,William Lane Craig vs Shelly Kagan: Is God Necessary for Morality?,closed,William Lane Craig,Shelly Kagan,76,85,con,pro,9,False,8,12,1,0,1,0,0,0,1,0,1,0,0,0
163,craig-draper-existence-of-god-1997,William Lane Craig vs Paul Draper: The Existence of God,closed,William Lane Craig,Paul Draper,78,85,con,pro,7,False,9,10,0,0,0,0,0,0,0,0,0,0,0,0
164,craig-wielenberg-god-morality-2018,William Lane Craig vs Erik Wielenberg: God and Morality,closed,William Lane Craig,Erik Wielenberg,80,84,con,pro,4,False,10,10,0,0,0,0,0,0,0,0,0,0,0,0
165,craig-rosenberg-faith-god-reasonable-2013,William Lane Craig vs Alex Rosenberg: Is Faith in God Reasonable?,closed,William Lane Craig,Alex Rosenberg,81,76,pro,con,5,False,11,10,0,0,0,0,0,0,0,0,0,0,0,0
166,craig-atkins-does-god-exist-2011,William Lane Craig vs Peter Atkins: Does God Exist?,closed,William Lane Craig,Peter Atkins,83,73,pro,con,10,False,8,8,0,0,0,0,0,0,0,0,0,0,0,0
167,craig-shook-existence-god-2008,William Lane Craig vs John Shook: The Existence of God,closed,William Lane Craig,John Shook,76,83,con,pro,7,False,11,10,0,0,0,0,0,0,0,0,0,0,0,0
168,craig-krauss-evidence-god-2012,William Lane Craig vs Lawrence Krauss: Is There Evidence for God?,closed,William Lane Craig,Lawrence Krauss,83,81,pro,con,2,False,12,12,0,0,0,0,0,0,0,0,0,0,0,0
169,lennox-krauss-universe-god-question-2013,"John Lennox vs Lawrence Krauss: Science, the Universe, and the God Question",closed,John Lennox,Lawrence Krauss,76,84,con,pro,8,False,8,10,0,0,0,0,0,0,0,0,0,0,0,0
170,singer-lennox-is-there-god-2011,Peter Singer vs John Lennox: Is There a God?,closed,John Lennox,Peter Singer,75,86,con,pro,11,False,10,10,0,0,0,0,0,0,0,0,0,0,0,0
171,hitchens-blair-religion-force-good-2010,Christopher Hitchens vs Tony Blair: Is Religion a Force for Good in the World?,closed,Tony Blair,Christopher Hitchens,83,85,con,pro,2,False,11,11,0,0,0,0,0,0,0,0,0,0,0,0
172,hitchens-mcgrath-religious-belief-2007,Christopher Hitchens vs Alister McGrath: Poison or Cure? Religious Belief in the Modern World,closed,Alister McGrath,Christopher Hitchens,80,80,tie,tie,0,True,9,10,0,0,0,0,0,2,,,,,,
173,onaiyekan-widdecombe-fry-hitchens-catholic-church-force-good-2009,John Onaiyekan & Ann Widdecombe vs Stephen Fry & Christopher Hitchens: The Catholic Church Is a Force for Good in the World,no_ledger,John Onaiyekan and Ann Widdecombe,Stephen Fry and Christopher Hitchens,78,92,con,pro,14,False,5,5,3,0,3,0,0,0,3,0,3,0,0,0
174,dawkins-williams-kenny-humanity-ultimate-origins-2012,"Richard Dawkins, Rowan Williams & Anthony Kenny: Humanity's Ultimate Origins",no_ledger,Rowan Williams,Richard Dawkins and Anthony Kenny,86,90,con,pro,4,False,5,5,0,1,0,1,1,2,0,1,0,1,1,2
175,oppy-pearce-is-there-a-god-2022,Graham Oppy vs Kenny Pearce: Is There a God?,closed,Kenny Pearce,Graham Oppy,84,88,con,pro,4,False,9,9,0,0,0,0,0,0,0,0,0,0,0,0
176,ehrman-peter-williams-gospels-historically-reliable-2018,Bart Ehrman vs Peter J. Williams: Are the Gospels Historically Reliable?,closed,Peter J. Williams,Bart Ehrman,83,86,con,pro,3,False,10,10,0,0,0,0,0,0,0,0,0,0,0,0
177,ehrman-wallace-trust-text-new-testament-2011,Bart Ehrman vs Daniel B. Wallace: Can We Trust the Text of the New Testament?,closed,Daniel B. Wallace,Bart Ehrman,83,88,con,pro,5,False,12,10,0,0,0,0,0,0,0,0,0,0,0,0
178,ehrman-licona-who-wrote-gospels-2025,Bart Ehrman vs Michael Licona: Who Wrote the Gospels?,closed,Michael Licona,Bart Ehrman,81,87,con,pro,6,False,10,9,0,0,0,0,0,0,0,0,0,0,0,0
179,craig-ehrman-historical-evidence-resurrection-2006,William Lane Craig vs Bart Ehrman: Is There Historical Evidence for the Resurrection?,closed,William Lane Craig,Bart Ehrman,84,83,pro,con,1,False,10,10,0,1,0,1,0,0,1,0,1,0,0,0
180,ally-licona-did-jesus-rise-dead-2004,Shabir Ally vs Michael Licona: Did Jesus Rise from the Dead?,closed,Michael Licona,Shabir Ally,83,85,con,pro,2,False,8,10,0,0,0,0,0,0,0,0,0,0,0,0
181,habermas-flew-did-jesus-rise-dead-2000,Gary Habermas vs Antony Flew: Did Jesus Rise from the Dead?,closed,Gary Habermas,Antony Flew,87,86,pro,con,1,False,11,9,0,1,0,1,0,0,1,0,1,0,0,0
182,white-ally-sin-salvation-quran-bible-2013,James White vs Shabir Ally: Sin and Salvation in the Qur'an and the Bible,closed,James White,Shabir Ally,79,79,tie,tie,0,True,10,10,0,0,0,0,0,0,,,,,,
183,enoch-clarke-doane-moral-realism-objectivity-2026,David Enoch vs Justin Clarke-Doane: Moral Realism and Objectivity,closed,David Enoch,Justin Clarke-Doane,84,88,con,pro,4,False,10,8,0,0,0,0,0,0,0,0,0,0,0,0
184,enoch-sampson-loeb-lutz-moral-realism-2024,David Enoch & Eric Sampson vs Don Loeb & Matthew Lutz: Is Moral Realism True?,no_ledger,David Enoch & Eric Sampson,Don Loeb & Matthew Lutz,92,91,pro,con,1,False,6,6,0,0,0,0,0,0,0,0,0,0,0,0
185,dennett-caruso-free-will-responsibility-2021,Daniel Dennett vs Gregg Caruso: Free Will and Moral Responsibility,closed,Daniel Dennett,Gregg Caruso,79,89,con,pro,10,False,9,10,0,0,0,0,0,0,0,0,0,0,0,0
186,huemer-sapolsky-free-will-determinism-2024,Michael Huemer vs Robert Sapolsky: Does Free Will Exist—and Does It Matter?,closed,Michael Huemer,Robert Sapolsky,83,80,pro,con,3,False,10,9,1,0,1,0,0,0,0,1,0,1,0,0
187,ward-dennett-more-than-matter-2019,Keith Ward vs Daniel Dennett: Are We More Than Matter?,closed,Keith Ward,Daniel Dennett,76,83,con,pro,7,False,12,11,2,0,2,0,0,0,2,0,2,0,0,0
188,kastrup-blackmore-consciousness-idealism-2023,Bernardo Kastrup vs Susan Blackmore: What Is Consciousness?,closed,Bernardo Kastrup,Susan Blackmore,83,86,con,pro,3,False,9,8,0,0,0,0,0,0,0,0,0,0,0,0
189,tour-cronin-origin-of-life-2020,James Tour vs Lee Cronin: Are We Close to Discovering the Origin of Life?,closed,James Tour,Lee Cronin,82,80,pro,con,2,False,9,10,0,0,0,0,0,0,0,0,0,0,0,0
190,huemer-oppy-souls-personal-identity-2022,Michael Huemer vs Graham Oppy: Do Souls Exist?,closed,Michael Huemer,Graham Oppy,76,84,con,pro,8,False,10,10,0,0,0,0,0,0,0,0,0,0,0,0
191,ruse-rana-origin-life-evolution-design-2013,Michael Ruse vs Fuz Rana: Evolution or Design at Life's Origin?,closed,Michael Ruse,Fuz Rana,82,81,pro,con,1,False,10,10,0,0,0,0,0,0,0,0,0,0,0,0
192,tour-swamidass-origin-life-chemistry-2020,James Tour vs S. Joshua Swamidass: How Close Is Origin-of-Life Science?,closed,James Tour,S. Joshua Swamidass,80,78,pro,con,2,False,8,8,0,0,0,0,0,0,0,0,0,0,0,0
193,crossan-licona-historical-jesus-2018,John Dominic Crossan vs Michael Licona: Who Was the Historical Jesus?,closed,John Dominic Crossan,Michael Licona,82,84,con,pro,2,False,9,10,0,0,0,0,0,0,0,0,0,0,0,0
194,swinburne-millican-does-god-exist-2022,Richard Swinburne vs Peter Millican: Does God Exist?,closed,Richard Swinburne,Peter Millican,81,88,con,pro,7,False,7,10,0,0,0,0,0,0,0,0,0,0,0,0
195,russell-copleston-existence-of-god-1948,Bertrand Russell vs Frederick Copleston: Does God Exist?,closed,Frederick Copleston,Bertrand Russell,78,80,con,pro,2,False,8,10,0,0,0,0,0,0,0,0,0,0,0,0
196,huemer-rasmussen-god-existence-2026,Michael Huemer vs Joshua Rasmussen: Does God Exist?,standalone,Josh Rasmussen,Michael Huemer,77,79,con,pro,2,False,8,12,0,1,0,1,2,1,0,1,0,1,2,1
197,mcgilchrist-seth-consciousness-god-2026,Iain McGilchrist vs Anil Seth: Does Consciousness Point to God?,standalone,Iain McGilchrist,Anil Seth,74,83,con,pro,9,False,15,15,4,0,4,0,3,0,4,0,4,0,3,0
198,ferrer-dillahunty-god-morality-2018,John Ferrer vs Matt Dillahunty: Do We Need God for Morality?,standalone,John Ferrer,Matt Dillahunty,67,83,con,pro,16,False,13,14,4,0,6,0,1,0,4,0,6,0,1,0
199,crummett-watkins-soul-existence-2020,Dustin Crummett vs Ben Watkins: Does the Soul Exist?,standalone,Dustin Crummett,Ben Watkins,82,81,pro,con,1,False,11,9,1,0,1,0,2,1,0,1,0,1,1,2
200,craig-stenger-god-existence-2010,William Lane Craig vs Victor Stenger: Does God Exist?,standalone,William Lane Craig,Victor Stenger,76,69,pro,con,7,False,20,22,0,1,0,1,1,0,1,0,1,0,0,1
201,hernandez-dillahunty-soul-existence-2015,Does the Soul Exist? Eric Hernandez vs. Matt Dillahunty (2015),standalone,Eric Hernandez,Matt Dillahunty,68,82,con,pro,14,False,21,24,3,1,3,1,0,0,3,1,3,1,0,0
202,dawkins-lennox-god-delusion-2007,Is Belief in God a Delusion? Richard Dawkins vs. John Lennox (2007),standalone,Richard Dawkins,John Lennox,76,72,pro,con,4,False,18,21,2,3,2,3,0,0,3,2,3,2,0,0
203,craig-flew-god-existence-1998,Does God Exist? William Lane Craig vs. Antony Flew (1998),standalone,William Lane Craig,Antony Flew,74,77,con,pro,3,False,19,16,5,0,5,0,2,0,5,0,5,0,2,0
204,singer-dsouza-morality-without-god-2008,Can There Be Morality Without God? Dinesh D'Souza vs. Peter Singer (2008),standalone,Dinesh D'Souza,Peter Singer,71,81,con,pro,10,False,14,15,3,0,3,0,3,0,3,0,3,0,3,0
205,horn-watkins-god-existence-2021,Does God Exist? Trent Horn vs. Ben Watkins (2021),standalone,Trent Horn,Ben Watkins,71,75,con,pro,4,False,14,12,5,2,5,2,0,0,5,2,5,2,0,0
206,williams-dawkins-god-science-reality-2026,"God, Science and the Poetry of Reality: Rowan Williams vs. Richard Dawkins (2026)",standalone,Rowan Williams,Richard Dawkins,76,77,con,pro,1,False,12,13,2,4,2,4,2,0,2,4,2,4,2,0
207,peterson-dawkins-memes-archetypes-truth-2024,"Memes, Archetypes, and Religious Truth: Jordan Peterson vs. Richard Dawkins (2024)",standalone,Jordan Peterson,Richard Dawkins,74,86,con,pro,12,False,12,12,3,2,3,2,0,0,3,2,3,2,0,0
208,vela-jones-divine-hiddenness-christian-love-2023,Divine Hiddenness and Christian Love: Tyler Vela vs. Michael Jones (2023),standalone,Tyler Vela,Michael Jones,83,78,pro,con,5,False,10,10,1,1,1,1,1,3,1,1,1,1,3,1
209,oconnor-ruegger-divine-hiddenness-loving-god-2022,Divine Hiddenness and a Loving God: Alex O'Connor vs. Lukas Ruegger (2022),standalone,Alex O'Connor,Lukas Ruegger,85,75,pro,con,10,False,16,13,0,3,0,3,1,2,3,0,3,0,2,1
210,paterson-schmid-divine-hiddenness-relationship-2026,Divine Hiddenness and Religious Evidence: Joe Schmid vs. Dan Paterson (2026),standalone,Joe Schmid,Dan Paterson,88,83,pro,con,5,False,13,13,0,3,0,3,0,3,3,0,3,0,3,0
211,baggini-baker-hytch-divine-hiddenness-2025,Divine Hiddenness and Evidential Ambiguity: Julian Baggini vs. Max Baker-Hytch (2025),standalone,Julian Baggini,Max Baker-Hytch,80,82,con,pro,2,False,12,13,1,2,1,2,0,1,1,2,1,2,0,1
212,craig-carrier-resurrection-2009,Resurrection Evidence and Naturalistic Alternatives: William Lane Craig vs. Richard Carrier (2009),standalone,William Lane Craig,Richard Carrier,80,80,tie,tie,0,True,12,10,3,4,3,4,0,0,,,,,,
213,peterson-zizek-capitalism-marxism-happiness-2019,"Capitalism, Marxism, and Human Happiness: Jordan Peterson vs. Slavoj Žižek (2019)",standalone,Jordan Peterson,Slavoj Žižek,75,78,con,pro,3,False,12,14,3,2,3,2,0,0,3,2,3,2,0,0
214,pageau-woodford-metaphorical-truth-2020,Metaphorical Truth and Religious Patterns: Jonathan Pageau vs. Stephen Woodford (2020),standalone,Jonathan Pageau,Stephen Woodford,74,78,con,pro,4,False,15,15,3,1,3,1,0,0,3,1,3,1,0,0
215,horn-oconnor-christian-belief-2022,Why Be a Christian? Trent Horn vs. Alex O'Connor (2022),standalone,Trent Horn,Alex O'Connor,74,84,con,pro,10,False,14,14,2,0,2,0,1,0,2,0,2,0,1,0
216,harris-wolpe-religion-science-2007,"Religion, Science, and Meaning: Sam Harris vs. David Wolpe (2007)",standalone,David Wolpe,Sam Harris,68,83,con,pro,15,False,14,14,4,0,4,0,0,0,4,0,4,0,0,0
217,douthat-oconnor-religious-belief-obligation-2026,Religious Belief as an Obligation: Ross Douthat vs. Alex O'Connor (2026),standalone,Ross Douthat,Alex O'Connor,69,84,con,pro,15,False,21,17,8,0,8,0,1,0,8,0,8,0,1,0
218,mcgrath-oconnor-new-atheism-failure-2023,Has New Atheism Failed? Alister McGrath vs. Alex O'Connor (2023),standalone,Alister McGrath,Alex O'Connor,73,83,con,pro,10,False,13,15,4,1,5,1,1,0,4,1,5,1,1,0
219,shermer-mcgrath-god-imagination-2017,Is God a Figment of Our Imagination? Michael Shermer vs. Alister McGrath (2017),standalone,Michael Shermer,Alister McGrath,77,72,pro,con,5,False,18,13,0,2,0,2,0,1,2,0,2,0,1,0
220,hirsi-ali-oconnor-christian-conversion-2024,Does Christian Conversion Establish Truth? Ayaan Hirsi Ali vs. Alex O'Connor (2024),standalone,Ayaan Hirsi Ali,Alex O'Connor,71,83,con,pro,12,False,22,15,5,1,5,1,6,1,5,1,5,1,6,1
221,huemer-loeb-moral-realism-2022,Is Moral Realism Better Supported? Michael Huemer vs. Don Loeb (2022),standalone,Michael Huemer,Don Loeb,80,82,con,pro,2,False,16,19,4,0,4,0,2,1,4,0,4,0,2,1
222,lennox-shermer-god-existence-2008,Does God Exist? John Lennox vs. Michael Shermer (2008),standalone,John Lennox,Michael Shermer,76,81,con,pro,5,False,22,19,7,2,8,2,1,0,7,2,8,2,1,0
223,collins-dawkins-science-belief-god-2022,Science and Belief in God: Francis Collins vs. Richard Dawkins (2022),standalone,Francis Collins,Richard Dawkins,76,83,con,pro,7,False,20,22,1,2,1,2,4,0,1,2,1,2,4,0
224,hossenfelder-kastrup-superdeterminism-2022,Is Superdeterminism Scientifically Justified? Sabine Hossenfelder vs. Bernardo Kastrup (2022),standalone,Sabine Hossenfelder,Bernardo Kastrup,85,82,pro,con,3,False,22,17,0,4,0,4,0,2,4,0,4,0,2,0
225,kastrup-jump-analytic-idealism-materialism-2023,Does Analytic Idealism Explain Consciousness Better? Bernardo Kastrup vs. Tom Jump (2023),standalone,Bernardo Kastrup,Tom Jump,83,80,pro,con,3,False,22,18,6,2,6,2,0,0,2,6,2,6,0,0
226,horn-white-purgatory-2024,Is the Doctrine of Purgatory True? Trent Horn vs. James White (2024),standalone,Trent Horn,James White,79,80,con,pro,1,False,21,18,0,0,0,0,0,0,0,0,0,0,0,0
227,oldfield-marriott-meaning-without-god-2026,Is God the Answer to Our Meaning Crisis? Elizabeth Oldfield vs. James Marriott (2026),standalone,Elizabeth Oldfield,James Marriott,75,78,con,pro,3,False,16,16,0,1,0,1,3,0,0,1,0,1,3,0
228,ehrman-evans-new-testament-misquote-jesus-2010,Does the New Testament Misquote Jesus? Bart Ehrman vs. Craig Evans (2010),standalone,Bart Ehrman,Craig Evans,85,83,pro,con,2,False,14,14,3,4,4,4,2,0,4,3,4,4,0,2
